cve_ent,poblacion,nombre,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,10,3,2,1,11,1,1,16,12,14,4,26,9,4,2,7,1,11,0,8,0,4,1,2,4,3,3,2,2,2,1,2,3,1,1,9,3,6,5,10,9,1,10,6,7,8,7,5,3,18,14,7,7,4,3,5,20,17,8,11,14,7,5,15,8,15,19,21,3,4,21,12,21,24,26,15,10,22,9,11,17,27,4,5,37,56,84,117,662,247,6
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,8,2,1,1,0,0,2,9,13,5,7,1,1,4,1,4,12,3,0,1,5,7,14,9,9,1,2,1,16,12,4,5,3,0,3,5,1,5,3,4,3,9,3,3,3,5,0,2,2,6,3,3,3,2,7,11,12,53,24,15,1,1,8,5,7,6,4,1,4,1,5,3,6,1,0,4,2,3,1,4,28,7,1,7,8,7,14,11,53,16,101,120,87,208,168,71,1
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,4,1,0,1,1,4,2,1,1,0,0,0,3,2,4,1,0,1,6,2,3,2,5,0,2,3,0,2,7,6,1,0,2,2,1,2,2,2,0,6,5,2,4,1,2,0,1,1,3,1,7,0,1,3,4,1,4,3,4,0,1,3,3,3,6,3,7,9,7,7,5,3,3,3,17,10,27,65,165,80,1
"14",8409693,"JALISCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,2,1,0,2,9,5,5,1,2,2,4,9,6,4,6,4,2,8,21,9,4,7,7,1,10,7,19,16,20,13,9,9,15,13,18,15,9,6,24,19,28,22,20,23,3,30,35,48,61,40,16,29,40,43,46,51,43,9,9,64,51,46,39,50,32,23,66,62,24,44,61,32,16,45,35,61,31,53,22,19,40,34,15,27,40,51,40,203,79,28,24,20,41,9,20,36,64,149,273,173,9
"15",17427790,"MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,2,0,0,1,3,2,5,6,4,5,1,3,2,7,2,3,6,3,4,9,7,12,25,21,8,11,25,27,11,33,10,8,5,26,39,55,33,43,38,23,54,60,50,62,74,43,33,77,70,93,84,96,39,43,68,99,61,59,71,34,42,128,113,132,95,141,67,51,110,113,129,156,160,59,59,97,159,121,162,168,82,46,134,88,193,167,165,58,35,194,220,256,332,420,76,103,399,367,443,479,596,76,100,430,442,470,415,322,69,48,405,413,470,394,352,92,56,319,158,246,505,659,237,92,825,1024,1447,1310,1319,273,14
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,2,0,3,1,3,0,1,1,2,0,2,2,4,0,2,1,3,4,8,12,5,13,4,3,20,23,8,12,12,12,5,20,10,32,18,20,6,11,11,26,21,27,21,10,12,32,18,30,15,39,24,9,38,72,190,363,418,145,3
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,3,0,1,1,0,2,1,3,3,3,2,1,0,2,1,2,1,2,0,3,2,2,0,0,2,1,0,2,1,1,3,1,14,5,2,1,2,0,5,1,1,4,0,1,2,3,2,6,3,1,0,0,3,0,5,5,2,1,0,3,0,0,3,4,0,1,1,1,3,0,0,0,1,0,1,2,5,7,3,11,13,47,30,33,32,20,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,2,1,0,0,1,1,1,2,1,0,0,2,0,0,0,1,0,2,1,1,2,3,0,0,0,0,2,12,2,1,2,1,1,0,1,4,3,1,1,1,2,3,9,7,8,7,9,1,0,4,2,1,0,3,5,3,9,30,41,1
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,4,7,6,4,0,0,4,2,6,6,6,3,0,11,5,3,3,1,1,3,7,3,7,2,9,4,2,7,6,8,3,4,4,5,13,8,8,9,13,3,4,8,15,12,12,17,6,4,19,20,10,9,10,12,16,10,19,31,35,17,16,8,34,49,26,49,41,42,24,31,46,52,36,58,18,11,28,87,36,38,37,31,19,43,78,56,47,47,18,20,46,75,80,244,415,186,56
"20",4143593,"OAXACA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,1,0,0,2,2,1,0,2,3,1,0,3,6,6,7,3,2,2,6,3,11,3,4,0,2,3,9,9,16,23,7,1,13,2,6,5,5,3,5,4,7,8,4,5,5,9,8,7,4,2,4,1,2,4,9,4,4,6,2,2,11,9,8,7,14,10,8,11,8,10,12,9,6,3,15,3,3,21,10,9,1,7,6,10,12,10,7,5,27,49,34,85,125,22,1
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,5,6,8,7,10,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,1,1,4,1,9,15,9,24,14,5,11,10,5,3,9,3,3,9,10,10,42,21,10,5,21,10,17,18,10,33,6,28,18,18,17,22,22,5,53,30,31,24,23,34,21,40,41,26,64,49,11,25,48,55,46,44,32,17,45,47,26,29,40,26,21,27,40,45,66,85,85,42,34,73,79,41,35,48,13,7,31,35,46,65,32,31,11,28,36,27,60,71,64,28,108,125,197,352,520,185,22
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,2,0,0,0,1,0,0,3,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,2,2,1,7,5,2,4,5,9,3,7,2,7,2,1,3,6,7,5,14,24,3
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,1,3,3,2,1,1,1,1,1,2,0,0,3,1,1,0,1,2,0,2,2,1,1,0,0,1,1,0,0,1,0,4,0,3,3,3,1,2,6,0,8,5,6,2,2,3,4,2,3,7,5,8,7,3,17,11,5,11,9,3,1,13,10,9,8,5,4,10,10,12,9,14,12,8,4,10,15,13,16,11,14,12,29,4,10,2,9,1,2,12,9,15,22,73,55,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2,2,0,2,1,1,4,2,1,1,0,3,3,7,5,4,5,2,2,1,5,1,2,1,6,3,3,7,15,12,12,28,22,14,28,29,15,18,27,10,6,11,10,34,56,32,6,11,48,84,28,40,44,23,10,57,38,32,41,20,17,21,69,63,65,81,74,68,18,115,176,159,115,81,21,25,105,186,387,496,447,136,3
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,2,5,2,2,0,2,0,0,2,8,3,4,7,1,4,7,6,7,0,2,5,3,7,10,11,9,5,9,7,11,13,8,12,6,6,4,30,8,10,11,13,14,5,7,12,20,5,13,6,5,32,10,8,5,6,4,0,24,14,10,11,12,10,7,8,10,15,17,10,5,8,14,14,9,19,23,19,5,13,12,14,8,15,6,4,8,5,11,11,14,11,6,13,9,7,13,20,15,11,81,104,156,187,184,65,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,2,2,2,1,2,0,2,5,5,1,2,1,2,4,7,19,17,22,6,0,15,20,21,15,16,1,3,24,13,5,9,9,4,2,14,16,11,10,22,6,8,11,11,26,15,6,5,9,15,12,12,27,11,17,5,11,35,27,22,47,14,16,54,40,55,49,29,11,11,8,22,20,24,26,22,16,46,32,16,41,43,8,9,16,17,23,8,17,14,11,57,85,228,249,307,95,1
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,2,1,0,3,1,0,2,3,2,2,2,3,10,9,8,5,6,11,5,17,13,9,10,10,21,10,12,10,14,7,10,19,11,20,98,367,189,18
