estado,casos_acumulados,muertes_acumuladas
Aguascalientes,4,0
Baja California,8,0
Baja California Sur,1,0
Campeche,0,0
Ciudad de México,45,1
Coahuila,3,0
Colima,2,0
Chiapas,2,0
Chihuahua,2,0
Durango,5,1
Guanajuato,4,0
Guerrero,4,0
Hidalgo,3,0
Jalisco,32,0
México,14,0
Michoacán,0,0
Morelos,2,0
Nayarit,1,0
Nuevo León,32,0
Oaxaca,2,0
Puebla,16,0
Querétaro,14,0
Quintana Roo,12,0
San Luis Potosí,9,0
Sinaloa,3,0
Sonora,2,0
Tabasco,4,0
Tamaulipas,3,0
Tlaxcala,0,0
Veracruz,7,0
Yucatán,14,0
Zacatecas,1,0
