estado,casos_acumulados,muertes_acumuladas
Aguascalientes,12,0
Baja California,14,0
Baja California Sur,5,0
Campeche,2,0
Ciudad de México,82,3
Coahuila,12,0
Colima,2,0
Chiapas,4,0
Chihuahua,6,0
Durango,5,1
Guanajuato,19,0
Guerrero,7,0
Hidalgo,7,0
Jalisco,46,1
México,26,0
Michoacán,10,0
Morelos,2,0
Nayarit,4,0
Nuevo León,52,0
Oaxaca,7,0
Puebla,34,0
Querétaro,18,0
Quintana Roo,22,0
San Luis Potosí,17,1
Sinaloa,4,0
Sonora,4,0
Tabasco,6,0
Tamaulipas,6,0
Tlaxcala,1,0
Veracruz,7,0
Yucatán,29,0
Zacatecas,3,0
