estado,casos_acumulados,muertes_acumuladas
Aguascalientes,19,0
Baja California,20,0
Baja California Sur,9,0
Campeche,2,0
Ciudad de México,107,5
Coahuila,14,0
Colima,2,0
Chiapas,7,0
Chihuahua,6,0
Durango,7,1
Guanajuato,31,0
Guerrero,7,0
Hidalgo,12,0
Jalisco,77,3
México,70,0
Michoacán,16,1
Morelos,4,0
Nayarit,5,0
Nuevo León,64,0
Oaxaca,11,0
Puebla,51,0
Querétaro,23,0
Quintana Roo,29,0
San Luis Potosí,19,2
Sinaloa,9,0
Sonora,8,0
Tabasco,21,0
Tamaulipas,6,0
Tlaxcala,4,0
Veracruz,17,0
Yucatán,36,0
Zacatecas,4,0
