cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,2,1,0,3,0,0,0,2,3,3,1,3,2,0,0,2,3,3,2,3,3,2,3,4,6,4,1,3,1,4,2,4,3,1,5,3,1,2,6,3,2,6,3,3,4,0,2,6,2,5,4,5,7,11,7,12,6,15,14,10,11,5,11,11,8,20,12,16,11,12,16,15,16,11,18,12,22,15,14,23,15,21,23,17,22,28,23,16,21,28,14,18,15,13,11,24,17,17,26,25,13,33,20,16,21,13,18,29,17,20,15,8,3,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,1,1,3,0,1,3,4,3,7,3,3,1,4,1,8,5,4,2,2,8,4,4,5,10,6,4,11,6,8,7,8,8,13,14,16,16,12,23,17,18,18,19,27,22,24,17,21,16,23,20,28,17,17,22,19,23,22,19,22,18,18,27,22,15,19,23,20,29,14,15,29,15,15,16,21,24,20,19,19,10,11,13,20,12,12,22,9,12,15,13,7,13,23,12,8,10,10,10,11,10,10,12,10,14,14,7,5,4,7,7,6,5,5,1,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2,1,1,2,2,2,1,7,8,1,5,2,5,9,2,7,10,10,7,8,9,6,10,8,12,9,14,15,9,11,14,7,16,17,12,11,11,12,11,12,12,11,11,13,9,6,15,5,3,3,12,15,8,12,10,5,8,16,10,11,12,12,11,8,10,8,12,13,6,18,6,12,11,6,17,13,10,5,9,6,10,10,8,14,11,16,13,14,14,15,14,13,7,14,13,12,9,14,19,12,15,14,15,13,15,6,8,11,8,0
"14",8409693,"JALISCO",0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,1,3,1,3,2,0,1,3,2,3,0,4,3,3,3,5,3,0,3,3,2,3,3,4,7,9,5,3,1,6,9,2,4,3,8,5,4,3,5,14,10,19,10,18,23,17,16,21,13,22,13,22,26,14,27,17,24,27,16,24,26,25,21,26,26,27,19,23,26,33,20,31,21,31,36,28,26,24,25,26,19,33,29,29,23,34,27,17,21,26,28,32,17,28,19,25,18,12,26,13,28,16,25,17,16,8,0
"15",17427790,"MEXICO",0,1,0,0,0,0,0,0,0,0,0,4,1,1,2,1,5,3,5,5,4,10,6,5,7,13,17,19,16,18,16,22,28,27,34,35,38,35,47,44,67,50,56,65,62,74,63,61,90,63,55,66,60,61,64,68,57,83,75,90,87,101,91,99,82,99,96,83,106,95,108,92,91,97,103,108,104,98,120,106,100,104,111,108,125,110,120,108,102,104,117,120,107,94,106,76,81,92,85,81,68,78,86,85,119,81,80,93,59,69,80,102,78,82,74,70,84,66,65,67,69,80,62,69,79,59,62,49,57,54,51,58,48,39,45,39,32,46,34,31,5,0
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,0,4,2,1,2,0,1,2,4,0,1,3,2,4,3,1,3,5,5,2,1,1,4,5,0,2,4,4,3,3,2,6,10,3,6,6,4,8,9,10,7,4,9,11,6,12,8,3,4,7,8,6,7,14,7,9,7,12,7,11,11,9,13,18,19,15,23,12,13,13,10,8,10,10,6,8,16,11,6,6,11,9,5,8,9,10,7,8,5,8,14,8,12,8,14,6,11,3,4,4,3,5,8,8,10,15,10,9,12,4,5,7,4,9,2,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,3,1,2,1,3,0,3,6,6,8,6,4,7,8,7,9,11,8,15,16,12,20,16,14,12,13,14,16,16,11,22,10,10,9,10,15,17,22,15,9,15,7,8,10,6,7,5,7,12,13,13,6,7,7,11,8,8,9,12,8,8,9,8,7,10,7,5,9,3,9,6,9,4,1,7,3,4,9,6,7,3,6,5,4,3,3,4,4,7,4,2,7,4,3,5,4,3,8,3,5,1,4,12,3,3,2,1,2,1,1,2,1,5,1,1
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,2,3,2,0,1,1,0,2,1,0,0,4,2,2,3,2,3,0,2,1,0,2,0,3,5,6,2,6,5,1,6,3,3,0,8,4,7,5,3,4,1,1,8,4,5,7,5,9,9,9,3,6,5,8,1,6,7,7,3,1,1,4,3,5,7,5,5,8,4,5,6,8,6,4,5,6,3,13,6,8,7,10,1,9,8,6,8,7,6,3,7,10,4,1,0
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,1,1,2,2,2,1,2,3,2,2,3,2,2,0,3,3,3,4,4,3,4,3,3,4,5,6,3,3,2,1,9,5,4,4,6,3,2,4,2,6,10,3,7,3,5,6,6,5,10,10,5,13,11,10,11,10,7,12,10,10,11,10,20,12,14,15,22,20,28,19,16,25,24,18,23,25,13,21,25,29,29,35,30,29,36,32,28,34,38,24,25,12,17,24,37,25,27,28,25,27,26,7,0
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,4,1,0,1,3,0,1,4,1,1,2,4,3,4,4,5,4,2,4,5,6,7,8,3,7,7,12,5,3,7,9,14,11,8,10,7,13,16,16,12,11,6,12,5,12,16,17,22,22,11,17,26,12,17,22,19,11,10,6,14,19,21,14,12,15,12,9,5,9,17,6,11,17,15,14,16,8,12,14,9,13,17,15,15,9,13,6,12,8,7,17,12,10,5,3,8,14,4,7,7,7,10,7,3,0
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,3,3,4,8,1,2,5,5,2,3,4,4,5,5,7,6,8,3,7,5,6,6,9,5,12,9,8,11,5,13,13,13,8,11,8,8,5,14,16,14,14,16,13,9,9,20,23,18,27,23,17,28,21,19,23,19,23,24,34,31,24,33,20,34,26,24,30,29,17,35,35,33,36,39,36,39,24,32,44,44,28,20,22,26,22,25,31,36,32,26,44,32,39,38,32,32,29,28,25,35,47,22,26,39,36,28,27,33,39,31,27,33,39,32,26,22,27,26,20,12,17,17,3,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,2,1,2,0,0,0,4,2,3,1,2,4,8,8,1,3,5,9,2,5,3,5,5,6,2,6,2,7,5,6,5,9,3,7,7,3,7,2,8,7,9,4,7,7,5,6,6,5,3,5,5,3,3,5,9,5,6,5,6,10,4,8,6,5,7,10,4,3,1,7,8,3,4,7,8,5,6,8,3,8,6,3,6,7,0,5,5,6,7,5,11,2,1,0
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,2,2,1,1,2,2,3,3,2,2,5,5,3,0,1,4,6,7,10,8,6,7,16,10,10,14,9,12,11,14,5,8,6,7,9,8,5,9,8,6,12,7,11,10,6,5,10,8,4,6,5,3,10,6,6,7,7,8,8,6,12,7,4,5,8,9,12,5,7,8,4,6,7,6,4,4,6,6,5,5,8,8,5,7,10,10,6,10,12,9,10,7,9,6,16,10,13,10,22,16,14,11,12,17,11,9,19,12,15,25,22,13,16,15,14,12,8,9,9,15,16,4,13,17,4,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,0,1,2,4,5,2,0,3,1,2,3,2,3,3,1,1,2,2,4,6,1,4,5,2,8,6,6,3,4,8,4,2,2,0,7,2,2,3,5,7,7,6,12,10,7,4,8,4,10,8,2,6,3,6,12,8,7,9,12,6,12,13,15,13,20,14,7,16,17,21,20,23,11,7,12,11,20,8,9,11,5,6,3,2,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,3,2,5,0,1,3,6,7,10,8,7,8,5,6,3,5,5,4,10,6,8,7,6,11,10,10,8,11,12,16,6,9,12,21,6,13,11,4,6,13,15,4,17,17,14,18,18,15,15,24,16,19,14,18,17,28,23,21,23,28,30,26,40,27,34,25,31,31,19,22,21,45,26,26,29,30,31,27,22,23,33,30,28,27,27,26,34,28,29,21,19,23,34,26,37,27,26,27,31,14,22,27,35,29,33,23,33,20,36,28,15,21,19,18,22,22,13,14,19,13,20,16,7,13,0,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,1,3,0,1,2,0,1,0,2,3,3,3,1,1,1,0,3,1,3,1,1,3,1,2,0,0,4,2,2,4,4,1,5,6,5,7,8,7,9,10,4,9,14,11,14,16,12,14,23,18,13,17,13,15,25,33,23,22,27,24,33,33,30,22,27,33,35,30,34,28,27,21,35,50,45,43,35,29,36,39,31,40,37,33,38,33,37,35,34,47,42,40,32,33,39,33,34,25,28,27,21,40,22,34,19,13,25,21,17,13,19,10,7,3,5,1,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,3,0,1,1,0,1,2,4,5,3,3,10,9,8,8,3,10,11,7,10,10,6,9,9,10,17,13,13,14,6,15,11,23,13,13,14,11,13,15,24,17,15,14,16,21,19,22,21,17,12,22,17,19,18,27,11,23,19,16,16,17,10,17,15,15,17,12,18,15,17,21,22,14,21,18,8,23,16,13,13,21,22,25,25,25,28,16,26,24,17,30,36,33,23,31,33,34,30,38,27,26,33,39,19,25,32,35,30,28,17,19,17,24,20,15,23,18,14,13,20,7,2
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,3,1,3,1,2,1,0,3,2,3,1,1,1,3,4,6,3,4,4,3,3,5,2,3,0,4,4,2,5,4,3,5,4,3,4,10,2,7,9,6,6,7,5,2,2,5,7,7,9,5,11,6,19,15,12,19,22,19,9,16,26,18,10,22,21,27,23,23,26,16,23,12,26,27,31,25,18,14,14,8,8,30,10,15,20,20,22,22,18,24,18,20,14,9,19,12,11,15,10,10,14,13,4,3,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,1,0,2,0,2,2,1,1,2,2,4,4,5,3,2,3,2,6,4,3,2,7,1,1,10,9,4,2,8,9,7,3,6,5,5,2,5,12,3,6,4,8,4,0,10,9,9,6,14,4,7,7,13,10,16,11,7,7,5,6,9,5,9,7,12,11,4,5,8,5,13,9,5,8,8,10,10,6,7,7,9,14,11,8,8,12,10,5,17,18,8,12,14,10,11,11,14,6,9,3,13,10,7,6,6,3,7,3,2,1,0
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,1,0,1,1,2,6,4,3,6,2,4,9,10,6,3,12,3,7,15,13,12,14,17,13,19,28,22,25,24,20,36,25,19,22,32,36,37,27,33,28,30,30,34,24,31,25,38,27,35,33,35,24,40,29,32,42,38,40,32,32,29,34,39,41,31,27,32,41,40,26,29,34,44,36,41,37,42,30,24,28,31,35,38,44,34,45,42,40,24,24,39,33,32,44,38,36,43,36,32,27,26,25,30,38,30,30,31,19,18,16,18,15,3,0
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,3,0,0,1,0,3,1,1,0,1,2,3,1,4,2,2,1,1,3,3,1,2,5,2,2,7,4,3,2,1,7,6,7,5,7,1,3,8,5,3,11,5,6,8,2,7,10,9,8,7,9,5,10,8,2,5,4,6,4,5,9,10,6,5,8,12,13,6,7,10,3,9,7,6,8,19,16,8,6,6,15,23,15,10,14,16,8,19,19,9,13,20,10,8,16,13,23,13,7,15,9,14,20,21,22,14,11,11,14,11,14,8,15,15,13,15,6,0
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,3,3,1,1,0,0,0,1,1,0,1,1,1,2,0,1,0,2,0,0,1,1,0,1,1,1,1,1,1,1,1,3,2,2,2,1,3,5,2,2,2,1,0,4,3,2,5,6,1,2,2,1,2,1,2,3,0,4,3,4,3,6,3,2,1,3,7,5,3,6,4,4,1,6,8,4,3,6,5,5,6,2,5,9,7,12,2,6,7,3,6,12,4,6,2,0
"000",127792286,"Nacional",0,2,0,1,0,1,1,2,2,8,7,14,8,12,22,19,26,32,33,27,53,56,46,53,65,69,72,80,92,95,78,109,110,134,164,156,165,163,195,220,235,211,207,265,260,292,261,260,331,310,298,296,321,307,318,340,340,375,414,422,395,442,449,454,459,448,437,432,466,479,481,447,479,435,476,504,544,498,529,527,504,536,557,591,554,584,540,596,555,579,573,634,609,558,537,468,543,542,539,526,508,554,558,540,608,566,551,541,532,559,594,649,613,549,574,534,558,548,598,579,574,573,554,511,558,550,574,505,508,460,454,477,402,425,401,424,375,366,316,310,102,5
