estado,casos_acumulados,muertes_acumuladas
Aguascalientes,4,0
Baja California,4,0
Baja California Sur,0,0
Campeche,0,0
Ciudad de México,31,1
Coahuila,1,0
Colima,1,0
Chiapas,2,0
Chihuahua,2,0
Durango,4,1
Guanajuato,4,0
Guerrero,4,0
Hidalgo,2,0
Jalisco,28,0
México,14,0
Michoacán,0,0
Morelos,2,0
Nayarit,0,0
Nuevo León,29,0
Oaxaca,2,0
Puebla,14,0
Querétaro,11,0
Quintana Roo,11,0
San Luis Potosí,7,0
Sinaloa,3,0
Sonora,2,0
Tabasco,2,0
Tamaulipas,2,0
Tlaxcala,0,0
Veracruz,4,0
Yucatán,13,0
Zacatecas,0,0
