estado,casos_acumulados,muertes_acumuladas
Aguascalientes,36,0
Baja California,35,0
Baja California Sur,17,0
Campeche,5,0
Ciudad de México,234,8
Coahuila,44,1
Colima,2,0
Chiapas,13,0
Chihuahua,7,0
Durango,7,1
Guanajuato,46,0
Guerrero,15,0
Hidalgo,19,3
Jalisco,94,3
México,149,1
Michoacán,21,1
Morelos,7,1
Nayarit,6,0
Nuevo León,76,0
Oaxaca,14,1
Puebla,81,1
Querétaro,29,1
Quintana Roo,47,1
San Luis Potosí,25,2
Sinaloa,27,3
Sonora,17,0
Tabasco,48,0
Tamaulipas,8,0
Tlaxcala,4,0
Veracruz,27,1
Yucatán,49,0
Zacatecas,6,0
