cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,2,1,0,3,0,0,0,2,3,3,1,3,2,0,0,2,3,3,2,3,3,2,3,4,6,4,1,3,1,4,2,4,3,1,5,3,1,2,5,3,2,6,3,3,4,0,2,5,2,5,4,5,7,10,6,10,5,14,11,3,5,3,1,1,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,1,1,3,0,1,3,4,3,6,3,3,1,4,1,8,5,4,2,2,8,4,4,5,10,6,4,10,5,7,7,7,7,13,14,15,15,11,21,17,16,17,17,20,16,20,16,20,15,21,19,23,17,14,22,16,22,17,15,16,14,9,12,10,2,3,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2,1,1,1,2,2,0,7,7,1,5,2,3,7,2,7,9,9,7,8,9,6,10,8,12,9,13,14,8,11,14,7,15,15,12,11,10,10,10,12,11,11,10,12,9,5,15,5,3,3,9,12,8,10,10,3,6,7,5,4,0
"14",8409693,"JALISCO",0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,1,3,1,3,2,0,1,3,2,3,0,4,3,3,3,5,3,0,3,3,2,3,3,4,7,9,5,3,1,6,9,2,4,3,8,5,3,3,5,14,8,19,9,18,19,14,15,17,12,16,11,17,18,13,16,9,6,0
"15",17427790,"MEXICO",0,1,0,0,0,0,0,0,0,0,0,4,1,1,2,1,4,3,5,5,4,10,6,3,6,11,15,17,13,18,15,18,23,23,30,32,30,30,45,41,57,41,43,51,46,55,46,45,69,44,40,45,43,42,41,47,37,58,52,50,50,72,55,70,57,63,66,51,70,68,67,70,54,54,55,80,73,50,61,48,49,61,54,62,58,57,58,44,48,37,25,13,3
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,0,4,1,0,2,0,1,2,4,0,1,3,2,4,3,1,3,5,5,2,1,1,3,5,0,2,4,4,3,3,2,5,10,3,6,6,4,8,9,10,7,4,8,11,6,12,8,2,4,6,8,5,5,10,7,8,7,7,3,8,6,7,8,12,12,3,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,3,1,2,1,3,0,3,5,6,8,6,3,5,8,5,5,9,7,13,12,11,15,12,13,10,8,9,7,6,6,9,4,4,5,7,6,10,8,6,4,5,5,3,6,2,3,0,3,5,4,4,3,3,4,3,5,5,4,6,2,3,1,2,1,0,1
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,2,3,2,0,1,1,0,2,1,0,0,4,2,2,3,2,3,0,2,1,0,2,0,3,5,6,2,6,5,1,6,3,3,0,7,4,7,4,3,4,1,1,7,2,1,0
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,1,1,2,2,2,1,2,3,2,2,3,1,2,0,3,3,3,4,4,3,3,3,3,4,5,6,3,3,2,1,9,5,4,4,5,3,2,4,2,6,9,3,6,2,4,5,6,4,8,5,3,5,4,1
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,4,1,0,1,3,0,1,4,1,1,2,4,3,4,4,5,4,2,4,5,6,6,8,3,7,7,11,5,3,7,8,14,10,8,10,7,12,14,15,12,9,5,11,4,9,15,15,21,15,6,13,23,7,6,3,2
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,3,3,4,7,1,2,5,5,2,3,4,2,5,5,7,6,7,3,5,5,5,4,7,5,12,7,7,11,4,13,11,10,8,10,6,4,5,13,13,12,13,15,11,8,6,18,20,16,23,20,15,23,13,15,20,14,18,14,29,25,20,29,14,24,17,18,15,17,11,12,14,9,6,6,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,2,1,1,0,0,0,4,2,3,1,2,4,8,8,1,3,5,9,2,5,3,5,5,6,1,6,1,6,4,6,5,9,3,6,7,3,6,1,8,6,7,4,7,3,1
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,2,2,1,1,2,2,3,3,2,2,4,5,3,0,1,4,6,7,10,8,6,7,16,10,10,14,9,12,11,14,5,8,6,7,9,8,5,8,8,6,12,7,11,10,6,5,10,8,4,6,5,3,10,6,6,6,6,8,7,6,11,7,3,5,7,9,11,5,7,8,4,6,6,6,4,3,1
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,0,1,2,3,5,2,0,3,1,2,3,2,2,3,1,1,2,1,4,5,1,2,1,2,6,4,5,2,2,5,1,1,0,0,3,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,3,2,5,0,1,3,6,7,10,8,7,8,5,6,3,5,5,4,11,6,8,7,6,11,10,9,8,11,9,16,6,9,12,20,6,13,11,4,7,12,15,4,16,16,14,16,17,14,12,24,13,19,14,17,16,26,21,20,16,26,23,24,35,22,29,21,24,23,16,18,15,23,13,10,8,1,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,1,3,0,1,2,0,1,0,1,3,2,2,1,1,1,0,3,1,1,0,1,3,1,2,0,0,4,2,1,4,4,1,4,5,5,6,5,7,7,9,4,7,11,8,12,12,12,10,16,13,12,13,10,10,14,17,9,13,13,8,11,6,7,2,6,1,1,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,3,0,1,1,0,1,2,4,5,3,3,10,9,8,8,3,10,10,8,10,10,6,8,9,10,17,13,12,14,6,14,10,22,12,11,12,9,12,12,22,17,13,12,14,19,16,19,20,17,9,13,14,14,15,23,11,21,18,16,12,14,7,13,13,11,13,9,10,7,8,5,2,0
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,3,1,3,1,2,1,0,3,2,3,1,1,1,3,4,5,3,3,4,3,3,5,2,3,0,4,4,2,5,4,3,5,4,2,4,9,2,7,9,6,5,5,5,2,0,5,7,7,7,5,8,4,11,4,3,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,2,0,2,2,1,1,2,2,4,4,5,3,2,3,1,6,4,3,2,7,1,1,10,9,4,2,8,9,6,3,5,3,4,1,3,11,3,4,4,6,2,0,8,7,9,5,10,4,6,4,7,7,11,5,2,2,0,0,0,0
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,1,0,1,1,2,6,4,3,6,2,4,9,10,6,3,11,3,5,15,12,12,13,16,12,18,27,22,24,20,20,35,23,17,22,30,35,32,22,27,23,24,26,31,22,28,24,36,22,27,27,28,18,36,22,29,34,33,30,20,26,16,13,11,5,1
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,3,0,0,1,0,3,1,1,0,1,1,3,1,4,2,2,1,1,3,3,1,2,5,2,2,7,4,3,2,1,7,6,7,5,7,1,3,8,5,3,11,5,6,8,2,6,9,9,7,7,8,5,10,8,2,4,4,5,3,5,8,10,3,3,5,9,11,6,2
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,3,3,1,1,0,0,0,1,1,0,1,1,1,2,0,1,0,2,0,0,1,1,0,1,1,1,1,1,1,1,1,3,2,2,2,1,3,4,1,2,2,1,0,4,2,1,0
"000",127792286,"Nacional",0,2,0,1,0,1,1,2,2,8,6,14,8,12,22,19,25,31,32,27,53,55,46,51,63,66,68,78,82,88,75,104,100,127,145,145,152,147,181,194,211,193,181,232,219,250,228,231,287,263,265,258,276,262,269,292,288,314,354,354,328,371,380,385,378,368,366,360,391,399,374,389,386,344,371,421,450,382,402,391,385,403,411,434,382,403,329,343,303,274,184,117,16
