01_001,"Aguascalientes, Aguascalientes",001,Aguascalientes,01,Aguascalientes
01_002,"Asientos, Aguascalientes",002,Asientos,01,Aguascalientes
01_003,"Calvillo, Aguascalientes",003,Calvillo,01,Aguascalientes
01_004,"Cosío, Aguascalientes",004,Cosío,01,Aguascalientes
01_005,"Jesús María, Aguascalientes",005,Jesús María,01,Aguascalientes
01_006,"Pabellón De Arteaga, Aguascalientes",006,Pabellón De Arteaga,01,Aguascalientes
01_007,"Rincón De Romos, Aguascalientes",007,Rincón De Romos,01,Aguascalientes
01_008,"San José De Gracia, Aguascalientes",008,San José De Gracia,01,Aguascalientes
01_009,"Tepezalá, Aguascalientes",009,Tepezalá,01,Aguascalientes
01_010,"El Llano, Aguascalientes",010,El Llano,01,Aguascalientes
01_011,"San Francisco De Los Romo, Aguascalientes",011,San Francisco De Los Romo,01,Aguascalientes
01_999,"No Especificado, Aguascalientes",999,No Especificado,01,Aguascalientes
02_001,"Ensenada, Baja California",001,Ensenada,02,Baja California
02_002,"Mexicali, Baja California",002,Mexicali,02,Baja California
02_003,"Tecate, Baja California",003,Tecate,02,Baja California
02_004,"Tijuana, Baja California",004,Tijuana,02,Baja California
02_005,"Playas De Rosarito, Baja California",005,Playas De Rosarito,02,Baja California
02_999,"No Especificado, Baja California",999,No Especificado,02,Baja California
03_001,"Comondú, Baja California Sur",001,Comondú,03,Baja California Sur
03_002,"Mulegé, Baja California Sur",002,Mulegé,03,Baja California Sur
03_003,"La Paz, Baja California Sur",003,La Paz,03,Baja California Sur
03_008,"Los Cabos, Baja California Sur",008,Los Cabos,03,Baja California Sur
03_009,"Loreto, Baja California Sur",009,Loreto,03,Baja California Sur
03_999,"No Especificado, Baja California Sur",999,No Especificado,03,Baja California Sur
04_001,"Calkiní, Campeche",001,Calkiní,04,Campeche
04_002,"Campeche, Campeche",002,Campeche,04,Campeche
04_003,"Carmen, Campeche",003,Carmen,04,Campeche
04_004,"Champotón, Campeche",004,Champotón,04,Campeche
04_005,"Hecelchakán, Campeche",005,Hecelchakán,04,Campeche
04_006,"Hopelchén, Campeche",006,Hopelchén,04,Campeche
04_007,"Palizada, Campeche",007,Palizada,04,Campeche
04_008,"Tenabo, Campeche",008,Tenabo,04,Campeche
04_009,"Escárcega, Campeche",009,Escárcega,04,Campeche
04_010,"Calakmul, Campeche",010,Calakmul,04,Campeche
