cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,2,1,0,3,0,0,0,2,3,3,1,3,2,0,0,2,3,3,2,3,3,2,3,4,6,4,1,3,1,4,2,4,3,1,5,3,1,2,5,3,2,6,3,3,4,0,2,5,2,5,4,5,7,10,6,10,4,13,10,2,3,0,0,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,1,1,3,0,1,3,4,3,6,3,3,1,4,1,8,5,4,2,2,8,4,4,5,10,6,4,10,5,7,7,7,7,13,14,15,15,10,17,14,15,17,17,20,16,20,16,20,15,20,19,21,16,14,21,16,19,14,12,13,7,4,7,6,1,1
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2,1,1,1,2,2,0,7,7,1,5,2,3,7,2,7,9,9,7,8,9,6,10,8,12,9,13,14,8,11,14,7,15,15,12,11,10,10,10,12,11,11,10,12,9,5,14,5,3,3,9,10,7,10,7,3,5,5,4,0
"14",8409693,"JALISCO",0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,1,3,1,3,2,0,1,3,2,3,0,4,3,3,3,5,3,0,3,3,2,3,3,4,7,9,5,3,1,6,9,2,4,3,8,5,3,3,5,14,8,19,9,18,19,14,15,17,12,16,10,13,14,7,5,0,0
"15",17427790,"MEXICO",0,1,0,0,0,0,0,0,0,0,0,4,1,1,2,1,4,3,5,5,4,10,6,3,6,11,15,17,13,18,15,17,23,23,30,32,29,30,45,40,57,39,41,51,46,52,46,45,67,43,39,42,41,41,41,47,36,58,52,49,49,71,51,67,57,63,66,50,67,67,64,67,54,54,54,78,71,49,61,47,46,58,52,58,54,44,48,37,33,29,5,1
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,0,4,1,0,2,0,1,2,4,0,1,3,2,4,3,1,3,5,5,2,1,1,3,5,0,2,4,4,3,3,2,5,10,3,6,6,4,8,9,10,7,4,8,11,6,12,8,2,4,6,8,5,5,9,7,8,7,7,3,8,5,6,7,8,6,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,3,1,2,1,3,0,3,5,6,8,6,3,5,8,5,5,9,7,13,12,11,15,12,13,10,8,10,7,6,6,9,4,4,5,7,6,10,7,6,4,5,5,3,6,2,3,0,3,5,4,4,3,3,4,2,5,5,4,4,2,2,1,2,1,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,2,3,2,0,1,1,0,2,1,0,0,4,2,2,3,2,3,0,2,1,0,2,0,3,5,6,2,6,5,1,6,3,3,0,7,4,7,4,3,4,1,1,7,2,0
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,1,1,2,2,2,1,2,3,2,2,3,1,2,0,3,3,3,4,4,3,3,3,3,4,5,6,3,3,2,1,9,5,4,3,5,3,2,4,2,6,9,3,6,2,4,5,6,4,8,5,2,3,1
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,4,1,0,1,3,0,1,4,1,1,2,4,3,4,4,5,4,2,4,5,6,6,8,3,7,7,11,5,3,7,8,13,10,8,10,7,12,14,15,12,9,5,11,4,9,14,15,20,15,6,12,22,7,3,1
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,3,3,4,7,1,2,5,5,2,3,4,2,5,5,7,6,7,3,5,5,4,4,7,5,12,7,7,11,4,13,11,9,8,10,6,4,5,13,13,12,13,15,11,8,5,18,20,16,23,20,15,23,12,15,20,14,18,14,29,25,19,28,13,21,14,16,11,13,7,11,8,6,4,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,2,1,1,0,0,0,4,2,3,1,2,4,8,8,1,3,5,9,2,5,3,5,5,6,1,6,1,6,4,6,5,9,3,6,7,3,6,1,8,6,7,4,6,2
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,2,2,1,1,2,2,3,3,2,2,4,5,3,0,1,4,6,7,10,8,6,7,16,10,10,14,9,12,11,14,5,8,6,7,9,8,5,8,8,6,12,7,11,10,6,5,10,8,4,6,5,3,10,6,6,6,6,8,7,6,11,7,3,5,7,9,11,5,7,7,3,4,6,6,1,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,0,1,2,3,5,2,0,3,1,2,3,2,2,3,1,1,2,1,3,5,1,2,1,2,5,4,5,2,2,4,1,1,0,0,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,3,2,5,0,1,3,6,7,10,8,7,8,5,6,3,5,5,4,11,6,8,7,6,11,10,9,8,11,9,16,6,9,12,20,6,13,11,4,7,12,15,4,16,16,14,16,17,14,12,24,13,19,14,16,16,26,21,20,16,26,23,24,35,22,29,21,23,23,15,15,13,21,13,8,1,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,1,3,0,1,2,0,1,0,1,3,2,2,1,1,1,0,3,1,1,0,1,3,0,2,0,0,4,2,1,4,4,1,4,5,5,6,5,7,6,9,4,7,11,8,12,12,12,10,16,13,11,13,10,10,14,17,9,13,12,8,11,6,6,1,5,0,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,3,0,1,1,0,1,2,4,5,3,3,10,9,8,8,3,10,10,8,10,10,6,8,9,10,17,13,12,14,6,14,10,21,12,11,12,9,12,12,22,17,13,12,14,19,16,19,20,17,9,13,14,13,15,23,11,19,17,16,12,14,7,12,11,10,11,8,9,7,8,3,1
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,3,1,3,1,2,1,0,3,2,3,1,1,1,3,4,5,3,3,4,3,3,5,2,3,0,4,4,2,5,4,3,5,4,2,4,9,2,7,9,6,5,5,5,2,0,5,7,7,7,4,7,3,6,1,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,2,0,2,2,1,1,2,2,4,4,5,3,2,3,1,6,4,3,2,7,1,1,10,9,4,2,8,9,6,3,5,3,4,1,3,11,3,4,4,6,1,0,6,7,9,5,10,4,6,4,7,7,11,5,2,2,0,0,0
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,1,0,1,1,2,6,4,3,6,2,4,9,10,6,3,11,3,5,15,12,12,13,16,12,18,27,22,24,20,20,35,23,17,22,29,34,32,21,27,23,22,26,30,21,28,24,36,22,27,27,28,18,35,22,28,34,33,27,20,25,13,10,1,1
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,3,0,0,1,0,3,1,1,0,1,1,3,1,4,2,2,1,1,3,3,1,2,4,2,2,7,4,3,2,1,7,6,7,5,6,1,3,8,4,3,11,3,6,7,2,4,8,7,4,7,5,5,10,8,2,4,4,5,3,5,8,10,3,3,5,9,9,1
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,3,3,1,1,0,0,0,1,1,0,1,1,1,2,0,1,0,2,0,0,1,1,0,1,1,1,1,1,1,1,1,3,2,2,2,1,3,4,1,2,2,1,0,3,1,0
"000",127792286,"Nacional",0,2,0,1,0,1,1,2,2,8,6,14,8,12,22,19,25,31,32,27,53,55,46,51,63,65,68,78,82,88,75,103,100,127,145,145,151,146,180,193,211,191,179,232,219,247,227,228,285,259,262,254,270,261,269,288,287,312,352,352,327,369,373,376,371,362,363,356,383,392,364,382,381,339,365,412,443,376,393,385,372,392,392,410,356,362,284,292,233,196,81,16
