cve_ent,poblacion,nombre,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,1,0,0,1,0,1,0,3,4,3,3,1,2,4,3,1,1,2,3,8,11,6,7,5,5,12,17,7,5,11,13,8,6,16,7,13,19,25,13,18,26,27,31,18,13,39,28,52,28,46,36,40,34,33,45,57,46,68,59,50,41,126,108,142,135,123,63,69,129,113,109,111,93,61,75,140,101,115,122,115,82,65,145,100,133,146,122,53,72,63,44,3,7,3
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,3,0,1,1,5,4,4,0,2,7,7,5,1,3,2,2,3,3,1,0,7,3,4,7,9,4,5,9,6,14,16,11,15,19,18,23,18,23,22,26,30,25,21,27,33,29,41,37,33,23,25,50,56,45,66,80,52,26,81,70,73,92,79,48,40,85,70,78,94,72,47,41,95,76,65,65,66,50,29,83,112,76,71,98,38,36,69,63,48,27,27
"14",8409693,"JALISCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,2,12,6,17,10,5,1,3,8,7,7,6,7,2,2,7,7,2,8,10,2,2,4,6,9,5,8,5,5,10,4,11,8,14,7,3,9,16,25,19,32,9,9,22,14,22,26,15,28,16,30,20,25,49,26,28,22,49,38,29,57,64,17,31,54,72,59,61,73,41,38,93,128,139,123,162,125,78,221,194,207,169,210,92,62,246,235,216,210,148,85,47,90,93,94,64,2
"15",17427790,"MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,1,2,2,3,12,4,10,6,7,6,12,10,5,5,15,23,25,28,43,27,18,51,34,49,48,48,34,40,82,71,89,56,88,76,85,152,159,174,180,148,156,150,253,269,243,257,294,183,195,321,322,304,286,253,220,219,464,319,311,413,404,238,217,538,502,545,478,537,320,267,619,505,552,551,558,236,306,706,582,664,597,595,314,265,712,689,832,680,699,336,350,915,677,682,533,454,165,163,340,304,159,83,6
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,0,3,3,2,3,1,1,3,0,4,4,1,6,2,2,6,6,4,9,3,2,4,12,16,9,8,14,7,8,28,12,12,19,22,27,20,32,29,23,26,24,16,27,43,20,34,29,43,45,26,69,59,100,77,103,44,27,66,66,100,79,95,20,35,121,101,90,111,128,46,46,167,125,148,140,133,72,35,188,188,148,154,167,71,38,166,147,90,5,3
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,2,3,0,0,0,3,1,1,1,3,8,1,3,3,8,6,6,6,3,2,4,9,10,10,8,11,9,18,27,18,29,28,27,13,26,43,25,38,33,23,25,41,41,35,45,46,31,18,21,42,40,42,25,35,13,16,39,46,34,41,45,19,16,46,54,30,42,33,22,20,48,42,46,36,34,12,9,62,45,46,43,43,20,19,38,43,25,13,3
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,0,1,0,0,2,0,0,1,4,2,2,2,2,2,0,2,4,4,2,2,3,4,3,2,1,4,4,6,4,3,6,11,13,5,13,7,15,15,15,24,17,15,6,7,9,20,19,15,18,17,3,6,18,24,17,19,26,13,8,19,29,35,33,30,22,11,24,43,32,29,37,23,17,41,40,34,43,53,25,15,47,33,40,33,4
"19",5610153,"NUEVO LEON",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,5,6,0,6,6,9,4,12,4,4,5,5,0,1,8,2,3,4,0,0,5,2,3,1,10,7,9,1,21,8,15,20,18,6,12,9,6,2,11,17,16,6,6,5,8,20,27,23,27,27,22,9,40,62,26,24,29,26,21,43,36,67,38,73,29,9,43,38,61,34,49,35,26,74,116,66,58,63,38,20,72,89,67,113,129,63,36,194,141,201,187,216,63,64,116,70,39,54,6
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,3,3,1,1,2,2,6,1,0,3,2,2,5,0,5,1,2,1,2,5,4,7,5,8,6,3,6,4,10,8,15,7,13,9,17,12,12,15,6,15,24,33,24,24,22,16,28,54,66,69,67,79,66,18,124,72,73,102,81,83,36,102,81,91,128,123,116,45,151,126,139,170,92,78,47,103,113,97,110,141,143,63,92,73,56,26,1
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,3,2,3,3,5,5,4,2,8,15,6,14,9,13,4,14,21,14,18,13,10,6,23,12,20,11,8,14,4,22,14,24,19,29,23,17,28,21,27,31,38,40,23,33,42,43,44,35,41,31,47,31,44,60,43,43,34,71,69,86,101,102,74,64,126,126,122,143,170,141,80,165,163,199,166,148,118,58,187,168,190,192,196,118,83,290,210,219,282,256,128,94,343,318,286,60,5
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,2,2,3,0,1,0,3,4,2,1,4,2,1,1,4,3,1,4,1,0,4,5,3,3,2,3,1,8,8,2,6,5,2,2,6,2,7,9,10,1,2,3,8,12,6,8,12,4,9,11,9,13,27,27,20,49,34,29,41,50,28,19,49,61,44,33,35,24,12,51,38,35,29,33,28,21,39,49,42,43,38,28,29,50,39,39,30,37,30,19,48,31,32,14,5
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,3,4,2,5,1,3,4,4,9,11,9,7,7,3,21,14,23,11,13,9,10,32,21,26,8,22,17,22,22,18,21,32,34,42,23,44,42,34,47,23,31,32,44,42,38,34,32,69,30,33,23,41,39,26,19,22,45,37,27,40,21,18,13,44,35,44,41,44,38,25,49,32,42,44,46,25,23,46,62,42,39,39,23,29,51,49,57,56,49,27,51,85,61,58,32,1
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,1,3,3,4,1,2,0,0,1,6,0,6,3,2,0,0,0,3,2,3,5,2,4,1,3,0,1,1,2,2,7,1,0,1,3,3,5,4,8,3,15,17,9,10,14,13,11,28,17,34,13,26,13,19,32,23,24,33,29,25,15,34,25,39,37,56,20,20,49,39,59,38,50,23,18,50,55,73,78,78,55,49,106,90,81,72,60,29,23,83,73,76,1,1
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,1,2,6,8,9,9,5,6,11,15,14,28,10,12,15,27,20,29,12,33,23,22,46,49,47,40,38,31,31,62,46,48,70,74,46,38,78,51,56,64,58,50,30,76,52,83,63,61,52,41,71,85,78,101,98,69,63,139,103,121,117,144,59,78,166,183,193,158,179,130,68,206,169,209,190,210,150,98,206,229,203,181,156,32,5,17,8,1,0,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,3,4,3,1,5,4,0,1,5,1,3,1,7,2,11,10,11,5,5,5,3,16,6,13,8,10,14,7,7,14,17,6,20,9,15,33,15,17,28,23,32,26,62,53,40,38,55,43,28,65,58,94,61,94,53,60,134,95,97,105,123,91,81,183,181,193,200,157,131,112,219,204,211,193,190,102,73,163,159,145,109,46,10,5,4,3,4,1,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,3,12,3,5,11,1,9,10,11,9,15,20,3,9,7,13,17,11,15,19,27,30,47,38,44,57,48,40,73,84,65,62,65,43,41,59,58,50,84,54,48,46,85,73,96,104,81,53,65,116,87,116,127,145,86,80,123,107,162,141,138,97,82,176,197,222,218,171,103,73,204,160,179,188,175,129,102,278,284,307,259,357,175,99,256,232,48,0,0
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,1,1,0,0,1,3,3,4,5,8,1,9,3,4,10,6,3,5,9,4,9,13,19,16,28,31,14,8,25,18,27,33,25,39,34,26,41,35,18,30,30,25,43,33,45,41,29,26,22,38,40,40,33,62,48,17,61,51,69,69,86,64,33,106,111,105,62,95,63,46,120,90,71,88,98,74,59,118,109,150,113,202,110,102,137,131,19,1,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,0,4,1,0,2,6,8,7,6,1,5,6,2,5,7,4,7,6,4,10,8,10,7,12,15,21,13,15,25,8,15,9,17,6,25,16,23,17,20,20,15,36,39,40,21,36,29,25,43,50,41,48,43,30,16,60,37,38,43,44,40,24,63,45,56,54,46,35,26,65,51,60,48,48,25,28,59,51,35,8,0
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,5,1,1,0,4,2,2,5,1,1,1,4,2,10,6,8,2,2,6,11,5,12,9,14,9,14,13,30,39,35,18,18,36,46,30,51,48,44,30,68,74,74,63,66,65,58,95,102,108,119,104,79,69,141,122,133,168,191,132,86,162,151,180,173,174,112,105,210,194,182,180,185,134,112,227,179,193,226,200,112,100,207,217,222,192,169,114,104,220,109,29,3,2
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,6,0,2,6,0,8,5,8,3,0,2,4,2,10,4,9,2,9,2,5,12,13,9,11,4,6,7,18,18,27,12,15,6,7,26,20,22,34,33,24,20,37,42,31,60,26,28,30,49,44,34,37,36,19,27,45,52,59,58,42,32,49,54,51,57,70,60,34,30,53,55,62,61,47,29,25,58,48,50,44,34,43,34,88,67,73,83,66,41,53,99,88,83,44,18
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,4,1,0,0,0,0,1,0,1,1,1,0,2,2,0,2,1,0,1,6,3,2,7,1,9,2,2,8,5,4,3,4,10,9,4,7,7,2,5,5,11,9,9,4,2,9,3,8,13,8,3,3,6,0,15,5,9,11,6,11,12,4,7,14,7,5,16,13,16,16,17,14,12,19,27,34,17,23,17,10,34,28,19,17,0
"000",127792286,"Nacional",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,2,0,2,1,0,1,4,1,9,27,28,60,49,36,68,91,99,107,100,66,48,130,164,141,173,211,158,142,307,277,319,300,335,219,224,535,450,514,405,487,405,428,843,840,860,882,1015,723,665,1347,1308,1242,1329,1506,952,931,1686,1686,1676,1684,1288,1295,1163,2377,1931,2125,2243,2259,1412,1299,2749,2699,2934,2840,3224,1986,1495,3710,3265,3559,3539,3559,1953,1696,4232,3939,4141,3923,3974,2504,1881,4855,4307,4556,4445,4477,2556,2038,5392,4943,4865,4509,4420,2097,1670,3950,3385,2234,887,112
