estado,casos_acumulados,muertes_acumuladas
Aguascalientes,4,0
Baja California,11,0
Baja California Sur,1,0
Campeche,1,0
Ciudad de México,56,1
Coahuila,10,0
Colima,2,0
Chiapas,2,0
Chihuahua,5,0
Durango,5,1
Guanajuato,4,0
Guerrero,4,0
Hidalgo,5,0
Jalisco,41,0
México,22,0
Michoacán,3,0
Morelos,2,0
Nayarit,1,0
Nuevo León,35,0
Oaxaca,3,0
Puebla,16,0
Querétaro,14,0
Quintana Roo,12,0
San Luis Potosí,12,0
Sinaloa,4,0
Sonora,4,0
Tabasco,5,0
Tamaulipas,4,0
Tlaxcala,0,0
Veracruz,7,0
Yucatán,19,0
Zacatecas,2,0
