estado,casos_acumulados,muertes_acumuladas
Aguascalientes,24,0
Baja California,27,0
Baja California Sur,13,0
Campeche,3,0
Ciudad de México,205,8
Coahuila,39,1
Colima,2,0
Chiapas,11,0
Chihuahua,6,0
Durango,7,1
Guanajuato,43,0
Guerrero,13,0
Hidalgo,17,2
Jalisco,90,3
México,136,1
Michoacán,17,1
Morelos,6,1
Nayarit,6,0
Nuevo León,75,0
Oaxaca,14,1
Puebla,76,1
Querétaro,27,1
Quintana Roo,43,1
San Luis Potosí,25,2
Sinaloa,24,3
Sonora,17,0
Tabasco,38,0
Tamaulipas,8,0
Tlaxcala,4,0
Veracruz,26,1
Yucatán,46,0
Zacatecas,6,0
