cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,2,1,0,3,0,0,0,2,3,3,1,3,2,0,0,2,3,3,2,3,3,2,3,4,6,4,1,3,1,4,2,4,3,1,5,3,1,2,6,3,2,6,3,3,4,0,2,6,2,5,4,5,7,10,7,12,6,15,13,8,10,4,11,11,7,20,12,15,11,12,15,14,16,10,18,12,20,14,14,20,13,18,22,17,21,26,22,14,18,21,13,11,11,6,1,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,1,1,3,0,1,3,4,3,7,3,3,1,4,1,8,5,4,2,2,8,4,4,5,10,6,4,10,6,7,7,8,8,13,14,16,16,12,23,17,18,18,19,27,22,24,17,21,17,22,19,26,17,17,22,18,23,20,19,21,17,16,25,21,14,19,21,18,27,13,15,27,12,14,15,18,17,18,19,19,8,10,9,17,9,12,19,8,11,12,12,5,11,20,9,5,4,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2,1,1,2,2,2,1,7,8,1,5,2,5,9,2,7,10,10,7,8,9,6,10,8,12,9,14,15,9,11,14,7,16,17,12,11,11,12,11,12,12,11,10,13,9,6,15,5,3,3,12,15,8,12,10,5,8,15,10,11,12,12,11,8,10,8,12,13,6,18,6,12,10,6,17,13,10,5,9,6,10,9,8,12,8,14,11,11,12,8,3,0
"14",8409693,"JALISCO",0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,1,3,1,3,2,0,1,3,2,3,0,4,3,3,3,5,3,0,3,3,2,3,3,4,7,9,5,3,1,6,9,2,4,3,8,5,4,3,5,14,10,19,10,18,21,17,16,21,13,21,13,22,25,14,27,17,23,27,15,23,26,24,20,26,25,26,18,22,24,33,20,30,21,30,32,27,25,23,23,23,16,32,28,26,21,28,21,2,0
"15",17427790,"MEXICO",0,1,0,0,0,0,0,0,0,0,0,4,1,1,2,1,5,3,5,5,4,10,6,5,7,13,17,19,16,18,16,21,28,27,33,35,37,35,46,43,66,50,53,64,60,73,63,59,89,61,55,65,60,60,64,67,57,83,73,86,85,101,88,96,80,96,95,82,101,92,104,89,84,93,101,106,100,93,115,103,98,101,108,104,116,107,116,100,102,101,116,116,106,88,104,74,74,87,80,75,66,76,81,83,109,77,76,83,55,66,78,99,71,77,73,65,75,52,53,53,44,29,3,0
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,0,4,2,1,2,0,1,2,4,0,1,3,2,4,3,1,3,5,5,2,1,1,4,5,0,2,4,4,3,3,2,6,10,3,6,6,4,8,9,10,7,4,9,11,6,12,8,2,4,6,8,6,6,14,7,9,7,10,7,11,10,9,13,17,19,15,20,12,11,13,10,7,9,10,6,8,16,11,6,5,10,8,5,7,7,9,6,7,5,6,12,7,10,7,9,4,2,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,3,1,2,1,3,0,3,6,6,8,6,4,7,8,7,9,11,8,15,16,12,20,16,14,12,13,14,16,16,11,22,10,10,9,10,14,17,22,15,9,15,7,8,10,6,7,5,7,12,13,13,6,7,7,11,8,8,9,12,8,8,9,8,7,10,6,5,9,3,9,6,9,4,1,7,3,4,9,5,7,3,6,5,4,1,2,3,4,6,4,2,3,2,2,1,1,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,2,3,2,0,1,1,0,2,1,0,0,4,2,2,3,2,3,0,2,1,0,2,0,3,5,6,2,6,5,1,6,3,3,0,8,4,7,5,3,4,1,1,8,3,5,7,5,9,9,9,3,6,5,8,1,6,7,6,3,1,1,3,3,5,6,5,5,7,3,5,5,4,4,4,3,2,0
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,1,1,2,2,2,1,2,3,2,2,3,2,2,0,3,3,3,4,4,3,4,3,3,4,5,6,3,3,2,1,9,5,4,4,6,3,2,4,2,6,10,3,7,3,5,6,6,5,10,10,5,13,11,10,11,10,7,11,10,9,11,10,18,12,14,11,20,17,22,17,13,18,20,13,21,20,11,19,21,19,19,5,18,1,0
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,4,1,0,1,3,0,1,4,1,1,2,4,3,4,4,5,4,2,4,5,6,7,8,3,7,7,12,5,3,7,9,14,11,8,10,7,13,15,16,12,10,6,12,4,12,16,17,22,20,10,17,26,12,17,22,19,11,9,6,14,17,20,14,10,15,12,9,5,7,15,6,11,17,15,12,14,8,11,12,8,10,14,11,12,3,4,0
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,3,3,4,8,1,2,5,5,2,3,4,4,5,5,7,6,8,3,7,5,6,6,9,5,12,9,8,11,5,13,13,13,8,11,8,8,5,14,16,13,14,16,11,9,9,19,22,17,26,22,17,28,20,18,22,19,23,24,34,32,23,33,19,33,26,25,30,29,17,35,36,33,35,39,34,38,24,32,41,44,28,20,20,24,22,24,29,34,31,25,40,31,33,34,28,23,25,26,20,26,31,8,13,15,7,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,2,1,2,0,0,0,4,2,3,1,2,4,8,8,1,3,5,9,2,5,3,5,5,6,2,6,2,7,5,6,5,9,3,7,7,3,7,2,8,7,9,4,7,7,5,6,6,6,3,5,5,3,3,5,9,5,6,5,6,10,3,8,6,5,7,10,4,3,1,7,8,3,4,4,2,0
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,2,2,1,1,2,2,3,3,2,2,5,5,3,0,1,4,6,7,10,8,6,7,16,10,10,14,9,12,11,14,5,8,6,7,9,8,5,9,8,6,12,7,11,10,6,5,10,8,4,6,5,3,10,6,6,7,6,8,7,6,12,7,4,5,8,9,12,5,7,8,4,6,6,6,4,4,5,5,5,5,8,8,5,6,10,9,5,10,11,8,9,7,9,6,16,9,10,10,19,16,12,11,11,17,11,5,8,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,0,1,2,4,5,2,0,3,1,2,3,2,3,3,1,1,2,2,4,6,1,4,5,2,8,6,6,3,4,8,3,2,2,0,7,2,2,3,4,7,7,5,11,9,6,4,7,4,8,7,2,4,1,3,12,7,7,9,9,2,9,8,8,3,9,1,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,3,2,5,0,1,3,6,7,10,8,7,8,5,6,3,5,5,4,10,6,8,7,6,11,10,10,8,11,12,16,6,9,12,21,6,13,11,4,6,13,15,4,16,17,14,17,18,15,15,24,14,19,14,17,16,28,23,21,21,28,26,25,39,26,34,24,27,30,18,21,20,43,23,24,28,26,31,25,21,22,31,26,25,23,25,23,26,25,26,18,19,22,33,19,33,24,23,23,29,13,19,24,29,22,22,12,2,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,1,3,0,1,2,0,1,0,1,3,3,3,1,1,1,0,3,1,3,1,1,3,1,2,0,0,4,2,2,4,4,1,5,6,5,7,8,7,9,10,4,9,14,11,14,16,12,14,22,16,13,17,11,14,23,31,22,20,26,22,32,31,30,22,25,31,32,28,32,26,27,19,33,46,40,39,26,16,31,33,25,27,25,26,23,27,25,25,25,28,22,16,10,9,12,5,5,3,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,3,0,1,1,0,1,2,4,5,3,3,10,9,8,8,3,10,10,7,10,10,6,9,9,10,17,13,12,14,6,15,11,23,13,13,14,11,12,14,24,17,15,14,16,21,19,22,21,17,12,21,17,19,18,27,11,23,19,16,16,17,8,16,14,15,17,12,17,15,16,20,22,14,19,17,8,23,15,13,13,21,22,24,23,22,27,15,23,24,16,29,31,30,19,24,27,26,23,27,16,17,13,19,0
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,3,1,3,1,2,1,0,3,2,3,1,1,1,3,4,6,3,4,4,3,3,5,2,3,0,4,4,2,5,4,3,5,4,3,4,10,2,7,9,6,6,7,5,2,2,5,7,7,9,5,11,6,19,15,12,15,19,14,9,14,23,17,7,14,12,15,16,20,26,13,16,9,21,23,24,18,10,11,9,5,6,14,4,5,4,2,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,1,0,2,0,2,2,1,1,2,2,4,4,5,3,2,3,2,6,4,3,2,7,1,1,10,9,4,2,8,9,6,3,6,5,4,2,5,12,3,5,4,8,3,0,9,8,9,6,13,4,7,7,12,10,16,11,7,7,4,6,9,5,8,7,12,11,4,5,6,5,13,8,5,7,7,9,8,5,4,5,5,12,8,6,8,10,6,4,7,7,3,2,0
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,1,0,1,1,2,6,4,3,6,2,4,9,10,6,3,12,3,7,15,13,12,14,17,13,19,27,22,25,24,20,36,25,19,22,32,35,37,27,33,27,30,30,34,24,31,25,38,27,35,33,34,24,40,27,32,41,38,40,29,32,26,31,38,38,23,25,30,40,40,22,28,32,38,34,38,34,38,28,22,25,23,30,26,31,26,38,23,25,21,16,25,15,8,9,1,0
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,3,0,0,1,0,3,1,1,0,1,2,3,1,4,2,2,1,1,3,3,1,2,5,2,2,7,4,3,2,1,7,6,7,5,7,1,3,8,5,3,11,5,6,8,2,7,10,9,8,7,9,5,10,8,2,5,4,6,4,5,9,10,6,5,8,12,13,6,7,10,3,9,7,6,8,19,16,8,6,6,14,22,15,10,14,16,7,18,19,9,13,18,10,8,16,12,22,11,2,0
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,3,3,1,1,0,0,0,1,1,0,1,1,1,2,0,1,0,2,0,0,1,1,0,1,1,1,1,1,1,1,1,3,2,2,2,1,3,5,2,2,2,1,0,4,3,2,5,6,1,2,2,1,1,1,2,3,0,4,3,4,3,6,3,1,1,3,7,4,3,6,3,4,1,4,5,1,0,0
"000",127792286,"Nacional",0,2,0,1,0,1,1,2,2,8,7,14,8,12,22,19,26,32,33,27,53,56,46,53,65,69,72,80,92,93,78,108,109,133,163,156,164,162,193,218,233,211,204,264,258,291,259,257,330,307,297,295,320,304,316,337,337,373,410,417,390,439,443,447,455,441,431,428,459,474,471,439,466,427,466,498,534,483,518,514,497,521,545,577,540,573,519,578,543,562,562,617,581,531,513,460,523,514,510,494,476,508,502,509,563,527,509,484,486,494,532,574,535,486,489,440,463,443,432,392,327,241,92,1
