cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,2,1,0,3,0,0,0,2,3,3,1,3,2,0,0,2,3,3,2,3,3,2,3,4,6,4,1,3,1,4,2,4,3,1,5,3,1,2,6,3,2,6,3,3,4,0,2,6,2,5,4,5,7,10,7,11,6,15,13,8,10,4,11,11,7,19,11,15,11,10,13,10,13,5,11,6,4,3,0,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,1,1,3,0,1,3,4,3,7,3,3,1,4,1,8,5,4,2,2,8,4,4,5,10,6,4,10,5,7,7,8,8,13,14,16,16,11,23,17,18,18,18,26,21,24,16,21,15,22,19,25,17,17,22,17,23,20,17,20,16,14,23,17,13,18,17,16,19,10,14,20,7,9,10,14,9,8,7,9,1,1
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2,1,1,2,2,2,1,7,7,1,5,2,5,9,2,7,9,10,7,8,9,6,10,8,12,9,14,15,8,11,14,8,16,17,12,11,11,11,11,12,12,11,10,13,9,6,16,5,3,3,12,14,8,12,11,5,8,15,10,11,12,12,10,8,10,8,11,11,5,16,5,11,9,7,9,0
"14",8409693,"JALISCO",0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,1,3,1,3,2,0,1,3,2,3,0,4,3,3,3,5,3,0,3,3,2,3,3,4,7,9,5,3,1,6,9,2,4,3,8,5,4,3,5,14,10,19,10,18,19,15,16,19,13,20,13,22,23,14,26,16,23,25,14,22,24,24,18,25,25,24,18,18,21,21,9,8,1
"15",17427790,"MEXICO",0,1,0,0,0,0,0,0,0,0,0,4,1,1,2,1,5,3,5,5,4,10,6,5,7,12,17,19,16,18,16,21,28,26,33,35,37,33,46,43,64,50,52,63,59,71,63,58,88,58,55,63,59,60,64,67,55,81,72,84,81,99,86,91,76,93,90,78,98,89,97,88,79,87,95,104,98,87,112,92,93,96,99,97,111,101,108,96,99,98,110,111,105,78,94,64,65,76,64,62,50,58,60,49,62,27,20,2
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,0,4,1,1,2,0,1,2,4,0,1,3,2,4,3,1,3,5,5,2,1,1,4,5,0,2,4,4,3,3,2,6,10,3,6,6,4,8,9,10,7,4,9,11,6,12,8,2,4,6,8,6,6,12,7,9,7,8,6,9,9,9,12,14,16,15,19,10,10,12,10,7,7,7,5,6,12,7,4,4,4,1
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,3,1,2,1,3,0,3,6,6,8,6,4,7,8,7,9,11,8,15,15,12,20,16,14,12,13,14,16,16,11,21,9,10,9,10,14,17,22,15,9,15,7,8,10,6,7,5,7,12,13,12,5,5,7,11,8,8,9,12,7,7,7,6,6,10,6,1,8,2,7,6,5,4,1,5,2,4,8,1,0,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,2,3,2,0,1,1,0,2,1,0,0,4,2,2,3,2,3,0,2,1,0,2,0,3,5,6,2,6,5,1,6,3,3,0,8,4,7,5,3,4,1,1,8,3,5,5,5,9,9,9,2,6,5,8,1,6,3,4,2,0,0
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,1,1,2,2,2,1,2,3,2,2,3,2,2,0,3,3,3,4,4,3,3,3,3,4,5,6,3,3,2,1,9,5,4,4,6,3,2,4,2,6,10,3,6,3,5,6,6,5,10,10,5,12,10,10,10,10,5,9,8,8,8,9,15,11,10,8,10,5,0
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,4,1,0,1,3,0,1,4,1,1,2,4,3,4,4,5,4,2,4,5,6,6,8,3,7,7,11,5,3,7,8,14,11,8,10,7,13,15,16,12,10,6,12,4,12,16,17,22,20,10,16,25,12,17,21,19,11,8,5,14,15,20,13,6,12,10,6,3,5,6,0
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,3,3,4,8,1,2,5,5,2,3,4,4,5,5,7,6,8,3,7,5,6,6,8,5,12,9,8,11,5,13,13,12,8,11,8,8,5,14,16,13,14,16,11,9,8,19,22,17,26,22,16,25,19,15,20,19,22,22,34,31,21,31,19,33,26,21,28,27,16,34,34,29,33,34,29,36,22,26,35,38,25,16,13,18,12,13,12,11,5,1
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,2,1,2,0,0,0,4,2,3,1,2,4,8,8,1,3,5,9,2,5,3,5,5,6,2,6,2,6,5,6,5,9,3,7,7,3,7,2,8,7,9,4,7,4,4,5,5,5,3,4,5,3,3,5,9,4,4,3,1,1
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,2,2,1,1,2,2,3,3,2,2,5,5,3,0,1,4,6,7,10,8,6,7,16,10,10,14,9,12,11,14,5,8,6,7,9,8,5,9,8,6,12,7,11,10,6,5,10,8,4,6,5,3,10,6,6,6,6,8,7,6,11,7,4,5,7,9,12,5,7,8,4,6,6,6,4,4,5,5,5,5,8,8,5,6,10,9,5,9,11,8,6,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,0,1,2,4,5,2,0,3,1,2,3,2,3,3,1,1,2,1,4,4,1,2,2,2,6,5,6,2,3,6,2,1,0,0,6,2,2,1,2,4,6,5,7,7,5,2,3,0,4,1,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,3,2,5,0,1,3,6,7,10,8,7,8,5,6,3,5,5,4,10,6,8,7,6,11,10,10,8,11,9,16,6,9,12,21,6,13,11,4,6,13,15,4,16,16,14,16,18,15,14,24,14,19,14,17,16,28,23,20,21,27,25,25,39,25,34,24,26,29,18,21,17,42,21,22,27,26,27,22,17,19,31,23,22,17,19,15,19,15,17,7,0,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,1,3,0,1,2,0,1,0,1,3,3,3,1,1,1,0,3,1,3,1,1,3,1,2,0,0,4,2,2,4,4,1,5,6,5,7,8,7,8,10,4,9,14,9,14,16,12,13,21,16,12,17,11,11,23,29,21,18,24,21,28,28,25,19,23,25,26,26,27,23,24,14,20,25,16,16,7,9,10,10,7,2,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,3,0,1,1,0,1,2,4,5,3,3,10,9,8,8,3,10,10,8,10,10,6,9,9,10,17,13,12,14,6,15,11,22,13,12,14,11,12,14,24,17,15,14,16,21,19,22,21,17,12,20,16,15,17,26,11,22,19,16,15,17,8,15,14,14,16,12,16,15,15,19,20,10,15,13,7,17,10,8,11,16,19,21,18,15,9,2,0
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,3,1,3,1,2,1,0,3,2,3,1,1,1,3,4,5,3,4,4,3,3,5,2,3,0,4,4,2,5,4,3,5,4,3,4,10,2,7,9,6,6,7,5,2,2,5,7,7,9,5,10,6,17,14,9,12,14,9,5,8,21,14,7,6,9,7,4,3,7,2,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,2,0,2,2,1,1,2,2,4,4,5,3,2,3,2,6,4,3,2,7,1,1,10,9,4,2,8,9,6,3,6,4,4,2,4,11,3,4,4,7,3,0,9,8,9,6,12,4,5,7,11,10,16,11,7,7,4,5,8,5,8,5,11,9,4,4,3,3,8,3,1,5,2,3,1
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,1,0,1,1,2,6,4,3,6,2,4,9,10,6,3,11,3,6,15,12,12,14,17,13,19,27,22,24,24,20,36,24,19,22,32,36,36,26,33,27,30,27,33,24,30,25,37,27,31,30,34,21,39,26,31,37,36,39,28,31,25,31,38,35,21,23,27,31,29,19,20,21,31,23,24,22,24,7,3,0
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,3,0,0,1,0,3,1,1,0,1,2,3,1,4,2,2,1,1,3,3,1,2,5,2,2,7,4,3,2,1,7,6,7,5,7,1,3,8,5,3,11,5,6,8,2,7,10,9,8,7,9,5,10,8,2,5,4,6,4,5,9,10,5,5,8,12,13,6,7,10,3,9,5,6,8,18,14,8,5,5,12,20,12,0
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,3,3,1,1,0,0,0,1,1,0,1,1,1,2,0,1,0,2,0,0,1,1,0,1,1,1,1,1,1,1,1,3,2,2,2,1,3,5,2,2,2,1,0,4,3,2,4,6,1,2,1,1,1,1,2,3,0,3,3,3,1,0
"000",127792286,"Nacional",0,2,0,1,0,1,1,2,2,8,7,14,8,12,22,19,26,32,33,27,53,56,46,53,66,68,72,80,87,91,78,107,108,131,162,154,164,158,195,215,227,211,198,261,252,283,256,252,326,299,290,288,312,300,310,334,331,367,404,409,378,428,436,436,439,430,422,419,447,455,450,427,439,413,449,486,518,462,497,479,481,501,515,541,515,547,487,547,520,528,530,573,535,478,450,405,463,440,417,395,364,396,363,326,320,229,131,11
