estado,casos_acumulados,negativos_acumulados,sospechosos,muertes_acumuladas
Aguascalientes,49,368,75,0
Baja California,54,333,242,5
Baja California Sur,27,169,81,2
Campeche,8,37,9,0
Coahuila,72,330,303,4
Colima,4,38,20,0
Chiapas,19,104,67,0
Chihuahua,13,66,42,0
Ciudad de México,469,1123,938,17
Durango,10,90,51,2
Guanajuato,53,852,214,0
Guerrero,25,131,118,1
Hidalgo,32,208,82,5
Jalisco,120,920,769,6
México,180,642,488,3
Michoacán,29,192,67,1
Morelos,14,106,62,3
Nayarit,9,66,33,1
Nuevo León,88,801,165,1
Oaxaca,22,166,56,1
Puebla,125,329,220,1
Queretaro,36,226,59,2
Quintana Roo,75,198,115,2
San Luis Potosí,35,364,125,2
Sinaloa,74,223,253,10
Sonora,27,196,131,1
Tabasco,83,273,352,3
Tamaulipas,20,125,83,1
Tlaxcala,9,151,71,0
Veracruz,37,249,430,3
Yucatán,62,242,61,0
Zacatecas,10,149,45,2
