cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,0,0,1,1,1
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,3,2,5,0,1,3,6,7,10,8,7,8,5,6,3,5,5,4,10,5,8,7,6,11,10,9,5,9,7,12,4,5,8,15,4,8,8,1,2,5,11,4,11,3,1,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,1,3,0,1,2,0,1,0,1,3,2,2,1,1,1,0,3,1,1,0,1,1,0,1,0,0,2,0,1,1,2,0,2,0,2,0,1
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,3,0,1,1,0,1,2,4,5,3,3,10,9,8,7,3,10,9,8,10,9,5,8,8,8,15,12,7,13,4,12,7,16,11,11,11,8,9,8,10,8,1
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,3,1,3,1,2,1,0,3,2,3,1,1,1,3,4,4,3,2,2,3,2,2,1,0,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,2,0,2,1,1,1,2,2,4,4,5,3,2,3,1,6,3,3,2,7,1,1,10,8,3,1,4,0,0
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,3,1,1,0,1,1,2,6,4,3,5,2,4,9,10,5,3,11,3,4,14,9,9,11,13,9,15,17,16,16,11,4,6,5,1,0
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,3,0,0,1,0,2,1,1,0,1,1,3,1,4,2,2,1,1,3,2,1,1,3,2,1,6,4,3,1,0,4,3,7,2,3,0,1,0
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,3,3,1,1,0,0,0,1,1,0,1,1,0,1,0,0
"000",127792286,"Nacional",0,2,0,1,0,1,1,2,2,8,6,13,8,12,21,19,25,31,29,27,53,54,45,50,60,63,63,70,77,83,71,91,95,111,126,120,129,127,154,160,164,154,136,179,171,186,182,167,185,176,175,156,165,156,152,148,151,117,111,85,45,6
