cve_ent,poblacion,nombre,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,1,4,11,1,6,1,4,6,5,4,1,4,2,1,2,5,3,3,7,6,8,2,2,4,1,4,4,13,14,29,10,10,14,10,13,9,12,11,7,26,17,14,16,14,9,11,33,23,29,37,43,27,22,40,53,41,52,38,33,20,55,70,57,61,55,52,20,114,96,103,138,137,84,59,138,110,69,2,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,1,0,0,1,0,1,0,3,4,3,3,1,2,4,3,1,1,2,3,8,11,6,7,5,5,12,17,7,4,11,13,8,6,16,7,13,19,25,13,18,26,26,31,18,13,39,28,52,28,45,36,40,34,33,45,57,46,67,56,50,40,124,108,141,136,120,62,68,121,102,92,86,30,16,13,16,4,1,0,2
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,3,0,1,1,5,4,4,0,2,7,7,5,1,3,2,2,3,3,1,0,7,3,4,7,9,4,5,9,6,14,16,11,15,19,18,25,18,23,22,26,31,26,21,28,33,29,40,37,32,23,24,49,55,45,67,78,51,26,81,71,74,95,75,45,40,82,69,77,94,69,43,32,69,37,32,29,0
"14",8409693,"JALISCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,2,12,6,17,10,5,1,3,8,7,7,6,7,2,2,7,7,2,8,10,2,2,3,6,9,5,8,5,5,10,4,11,8,14,7,3,9,16,25,19,32,9,9,22,14,21,26,15,27,16,27,20,25,49,26,28,21,49,37,29,57,62,17,30,54,71,58,61,73,40,38,86,125,136,113,151,120,65,179,69,24,0,4
"15",17427790,"MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,1,2,2,3,12,4,10,6,7,6,12,10,5,5,14,23,25,28,43,27,18,50,33,49,48,49,34,40,82,71,88,56,87,76,85,152,159,175,182,152,159,152,255,268,244,255,298,187,196,329,320,307,286,251,218,223,468,315,307,402,399,231,198,526,481,518,437,465,254,254,550,437,483,513,534,216,279,659,537,613,528,493,201,110,246,174,69,22,11
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,0,3,3,2,3,1,1,3,0,4,4,1,6,2,2,6,6,4,9,3,2,4,12,16,9,8,14,7,8,28,12,12,19,22,27,20,32,29,23,27,24,16,27,43,20,34,29,43,44,26,69,58,100,77,102,44,27,66,66,99,78,96,20,34,115,101,86,106,106,33,34,77,2,2,2,2
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,2,3,0,0,0,3,1,1,1,3,8,1,3,3,8,6,6,7,3,2,4,9,10,10,8,11,9,18,27,18,28,28,27,13,26,44,25,39,33,24,24,41,40,37,47,46,30,18,20,39,38,37,25,35,11,16,37,45,34,42,44,18,16,44,53,26,42,26,15,18,40,34,23,1,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,0,1,0,0,2,0,0,1,4,2,2,2,2,2,0,2,4,4,2,2,3,4,3,2,1,4,4,6,4,3,6,11,13,5,13,7,15,15,15,24,17,15,6,7,9,20,19,15,18,17,3,6,18,24,17,19,26,12,8,21,30,33,33,27,21,11,22,36,15,0,0
"19",5610153,"NUEVO LEON",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,5,6,0,6,6,9,4,12,4,4,5,5,0,1,8,2,3,4,0,0,5,2,3,1,10,7,9,1,21,8,15,20,18,6,12,9,6,2,11,17,16,6,6,5,8,20,27,23,27,26,22,10,40,63,26,22,28,27,21,45,36,66,38,72,28,8,42,39,63,33,46,32,24,59,102,68,56,57,27,13,18,47,23,19,0
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,3,3,1,1,2,2,6,1,0,3,2,2,5,0,5,1,2,1,2,5,4,7,5,8,6,3,6,4,10,8,15,7,13,9,17,12,12,15,6,15,24,33,23,23,21,16,28,53,67,69,67,79,64,17,123,69,68,93,75,82,34,98,78,83,101,63,45,34,56,56,20,0,0
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,3,2,3,3,5,5,4,2,8,15,6,14,9,13,4,14,21,13,18,13,10,6,22,12,20,11,8,14,4,21,14,24,19,29,23,17,28,21,27,31,37,39,23,32,42,44,44,32,41,30,48,30,43,59,42,44,32,72,66,83,94,96,68,64,122,123,116,135,157,121,74,155,134,181,125,111,75,39,137,118,121,11,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,2,2,3,0,1,0,3,4,2,1,4,2,1,1,4,3,1,4,1,0,4,5,3,3,2,3,1,8,8,2,6,5,2,2,6,2,7,9,10,1,2,3,8,12,6,8,12,4,8,11,9,13,26,27,20,49,34,29,41,50,27,19,49,60,44,33,35,22,12,50,31,33,27,32,22,20,27,32,19,5,0
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,3,4,2,5,1,3,4,4,9,11,9,7,7,3,21,14,23,11,13,9,10,32,20,26,8,22,17,22,22,18,21,32,34,42,23,43,42,34,47,23,31,32,44,42,38,34,32,69,30,33,23,41,39,26,19,22,44,38,27,41,21,20,13,45,35,43,39,44,39,24,49,32,41,43,44,24,23,45,57,22,0,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,1,3,3,4,1,2,0,0,1,6,0,6,3,2,0,0,0,3,2,3,6,4,4,1,3,0,1,1,2,2,7,1,0,1,3,3,5,4,8,3,15,17,9,10,14,13,11,29,17,34,13,26,13,19,31,23,23,34,29,25,15,35,24,38,37,55,20,20,48,38,57,35,44,21,18,36,43,28,0,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,1,2,6,8,9,9,5,6,11,15,14,28,10,12,15,27,20,29,12,33,23,22,46,49,48,40,38,31,31,62,46,48,70,74,45,38,77,51,57,64,59,51,30,76,52,83,63,61,52,41,71,84,78,101,98,69,63,138,101,117,114,139,56,75,160,179,181,143,170,88,38,97,50,20,0,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,3,4,3,1,5,4,0,1,5,1,3,1,7,2,11,10,11,5,5,5,3,16,6,13,8,10,14,7,7,14,17,6,19,9,15,33,15,18,27,23,32,26,62,52,40,38,55,43,28,64,57,94,61,93,51,59,133,92,93,97,108,87,71,167,164,173,158,100,43,13,1,1,0,0,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,3,12,3,5,11,1,9,10,11,9,15,20,3,9,7,13,17,11,15,19,27,30,47,38,44,57,48,40,73,84,65,62,65,42,40,59,57,50,82,53,48,46,84,72,96,104,81,53,65,113,87,116,127,144,86,79,121,107,159,140,136,97,81,174,194,219,215,163,99,69,189,138,92,0,0
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,1,1,0,0,1,3,3,4,5,8,1,9,3,4,10,5,3,5,9,4,9,13,19,16,28,31,14,8,25,18,28,33,25,38,34,26,40,35,18,30,28,24,38,31,44,41,28,27,20,34,37,40,31,59,48,16,58,47,63,65,55,37,32,78,95,93,51,47,28,27,31,19,4,3,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,0,4,1,0,2,6,8,7,6,1,5,6,2,5,7,4,7,6,4,10,8,10,7,12,15,21,13,15,25,8,15,9,16,6,24,16,23,17,20,20,15,35,39,38,21,35,29,25,43,49,39,48,42,29,15,56,36,35,41,42,35,23,54,25,10,1,0
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,5,1,1,0,4,2,2,5,1,1,1,4,2,10,6,8,2,2,6,11,5,12,9,14,9,14,13,30,39,35,18,18,35,45,30,51,48,44,30,68,74,74,63,66,65,58,96,102,106,118,103,79,67,142,122,132,169,189,129,85,155,148,171,171,169,102,100,194,177,177,154,129,89,69,101,55,21,0,0
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,6,0,2,6,0,8,5,8,3,0,2,4,2,10,4,8,2,8,2,5,12,13,9,11,4,6,7,18,18,27,12,15,6,6,26,20,22,34,33,24,20,37,42,32,60,26,28,30,49,44,33,37,35,18,26,43,52,59,57,39,31,49,54,51,57,70,59,33,30,51,54,60,59,46,30,23,50,37,24,8,1
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,4,1,0,0,0,0,1,0,1,1,1,0,2,2,0,2,1,0,1,6,3,2,7,1,9,2,2,8,5,4,3,4,10,9,4,7,7,1,5,5,11,9,9,4,2,9,3,8,13,8,2,3,6,0,15,6,9,10,6,10,11,4,7,13,7,2,15,11,8,0,0
"000",127792286,"Nacional",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,2,0,2,1,0,1,4,2,9,27,28,60,49,36,68,91,99,107,100,66,48,129,164,141,173,211,159,142,306,277,318,300,335,219,224,532,449,515,406,485,405,428,842,839,860,883,1018,725,667,1340,1298,1240,1320,1503,950,929,1672,1679,1680,1659,1275,1289,1160,2353,1913,2101,2183,2222,1394,1239,2692,2627,2854,2741,3029,1814,1462,3501,3110,3366,3391,3392,1822,1601,3958,3657,3846,3470,3292,1814,1182,2775,2002,1056,181,28
