estado,casos_acumulados,negativos_acumulados,sospechosos,muertes_acumuladas
Aguascalientes,36,321,57,0
Baja California,37,282,185,0
Baja California Sur,18,111,45,2
Campeche,5,19,9,0
Coahuila,57,248,162,2
Colima,3,31,9,0
Chiapas,14,85,36,0
Chihuahua,11,51,22,0
Ciudad de México,296,787,591,8
Durango,7,61,24,1
Guanajuato,49,597,173,0
Guerrero,17,86,84,1
Hidalgo,21,172,60,3
Jalisco,99,659,496,3
México,157,498,340,1
Michoacán,24,148,61,1
Morelos,9,88,36,1
Nayarit,8,37,20,1
Nuevo León,78,647,109,0
Oaxaca,22,114,25,1
Puebla,97,294,103,1
Queretaro,29,179,67,1
Quintana Roo,51,161,50,1
San Luis Potosí,31,279,74,2
Sinaloa,32,169,132,4
Sonora,18,127,119,0
Tabasco,52,176,233,1
Tamaulipas,9,74,61,0
Tlaxcala,5,101,66,0
Veracruz,28,185,305,1
Yucatán,52,166,34,0
Zacatecas,6,120,39,1
