cve_ent,poblacion,nombre,31-12-2019,01-01-2020,02-01-2020,03-01-2020,04-01-2020,05-01-2020,06-01-2020,07-01-2020,08-01-2020,09-01-2020,10-01-2020,11-01-2020,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020
"14",8409693,"JALISCO",0,1,0,3,0,2,3,4,3,14,9,3,7,11,10,17,12,15,7,2,12,18,18,8,7,4,4,11,10,9,10,11,3,6,4,7,8,6,3,2,3,9,6,13,10,8,0,6,7,4,7,6,6,2,2,5,2,10,4,5,3,3,12,8,10,3,8,2,2,3,11,9,14,18,5,14,13,37,45,53,40,31,33,92,98,119,77,124,55,67,109,102,90,93,120,113,83,145,118,103,79,76,78,52,112,91,108,106,133,64,34,184,147,200,277,293,125,91,175,125,185,156,98,65,45,175,98,122,157,180,220,84,205,190,192,338,261,131,66,119,5
"15",17427790,"MEXICO",0,0,1,1,1,3,1,5,1,6,7,0,1,2,5,2,5,1,1,1,7,4,8,1,3,0,3,2,2,3,1,0,0,1,0,6,3,5,2,0,0,2,4,3,3,2,0,0,2,0,0,1,3,0,1,2,6,4,2,4,2,2,9,12,9,4,7,1,5,7,9,13,11,24,15,9,18,42,21,44,30,24,14,64,73,79,80,145,64,64,180,124,132,131,157,104,50,128,162,168,90,124,67,64,235,214,190,165,180,81,92,225,183,191,180,258,121,93,223,261,338,455,284,285,257,522,424,575,400,267,95,71,224,226,190,181,181,87,35,99,3
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,8,1,0,3,4,7,8,7,7,6,12,14,33,19,21,15,10,34,20,29,25,36,22,13,29,25,34,32,25,11,17,46,38,47,82,108,26,21,63,55,43,61,57,51,18,57,70,78,91,38,33,32,76,73,85,71,86,36,31,149,119,121,138,181,51,11,0,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,2,0,1,2,6,8,1,2,11,11,13,11,8,7,14,12,14,18,17,13,13,5,21,16,21,12,9,13,8,21,27,22,16,15,6,10,25,23,13,16,15,8,8,16,13,24,25,8,3,13,26,17,47,29,31,11,11,38,42,27,29,53,7,7,16,0
"18",1288571,"NAYARIT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,3,1,2,0,1,2,1,5,3,5,10,11,11,8,15,9,14,9,6,9,3,14,9,11,9,4,3,4,12,12,13,10,7,10,3,16,12,12,8,16,18,22,30,19,17,18,12,18,15,23,19,32,32,23,7,12,18,32,27,21,20,22,9,20,0
"19",5610153,"NUEVO LEON",0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,3,4,0,2,2,10,6,3,6,3,2,3,3,3,2,2,0,0,0,1,1,1,4,3,0,2,6,3,3,5,1,2,1,3,1,1,0,2,3,0,2,4,0,3,8,3,2,9,12,6,7,4,3,3,9,7,9,25,40,14,6,26,43,35,47,42,30,33,62,96,99,54,72,41,37,74,71,93,76,86,47,30,97,109,98,235,343,277,220,185,301,269,224,157,57,59,125,64,49,64,74,106,87,172,184,201,143,127,98,103,221,237,141,147,173,185,182,198,181,66,46,53,57,44,77,12
"20",4143593,"OAXACA",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,2,2,0,3,1,3,5,5,7,1,2,4,7,11,22,14,35,6,14,10,19,24,44,25,12,7,15,12,17,7,8,15,6,19,11,10,7,15,6,8,14,7,7,11,21,17,4,16,17,20,16,10,23,14,7,17,12,20,16,15,14,28,37,39,18,23,31,22,33,0
"21",6604451,"PUEBLA",0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,4,0,2,1,0,1,0,0,1,0,0,2,12,5,10,5,4,4,17,25,26,34,16,7,26,35,40,38,24,10,21,62,32,28,34,41,18,25,52,47,58,29,17,10,24,74,53,41,34,41,18,18,54,27,29,41,46,33,21,59,50,45,58,27,24,27,62,44,51,68,84,65,22,53,86,71,103,99,27,18,56,43
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,1,7,4,3,4,2,9,14,6,16,4,17,20,16,29,22,15,9,22,37,28,21,20,3,6,22,20,14,5,21,14,12,25,18,19,11,10,9,11,20,17,9,10,16,9,7,23,19,13,16,12,10,6,17,14,10,12,22,11,21,19,32,48,48,40,26,20,46,2
"23",1723259,"QUINTANA ROO",0,0,0,1,0,1,0,2,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,2,0,0,2,0,2,2,2,0,0,0,0,2,4,3,2,0,1,3,0,2,0,0,0,0,0,1,1,4,0,0,0,0,1,0,1,3,0,0,6,1,0,2,3,0,1,2,1,2,3,4,3,6,11,11,12,13,6,6,6,13,20,24,27,22,7,6,36,27,17,21,17,8,14,16,23,16,15,13,11,6,23,13,16,16,10,16,9,15,16,10,9,17,15,5,17,13,19,19,8,6,8,15,27,21,36,15,17,16,23,25,29,36,29,14,9,18,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,2,0,2,0,2,1,1,2,0,0,1,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,5,1,0,0,0,0,2,1,4,3,2,13,5,9,2,8,11,14,13,25,39,39,39,53,29,29,39,45,59,51,32,26,19,32,43,56,32,25,28,24,52,51,29,30,35,27,28,37,40,32,61,63,21,27,50,52,52,61,44,25,33,55,42,84,64,104,35,28,79,97,92,76,106,49,26,54,0
"25",3156674,"SINALOA",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,7,4,4,0,0,0,2,3,4,3,4,0,0,2,1,4,1,1,0,1,0,2,1,0,2,1,0,2,0,1,2,1,0,1,2,3,0,3,2,3,4,3,6,13,10,12,5,6,23,38,34,30,38,12,18,40,25,45,36,39,52,16,41,28,43,20,31,24,8,61,39,45,31,35,14,21,32,20,22,26,48,20,21,44,57,32,97,65,49,23,95,88,87,93,83,36,27,64,86,54,69,60,24,9,8,0
"26",3074745,"SONORA",0,0,0,1,0,1,2,0,1,0,0,1,0,0,4,3,0,1,0,0,0,1,0,3,0,0,0,1,2,3,4,0,1,0,0,2,1,2,1,0,0,0,3,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,2,1,1,1,1,0,1,2,1,0,2,2,0,1,2,9,13,8,7,6,3,10,22,28,21,23,17,13,40,32,34,28,22,15,12,29,28,35,16,25,12,7,38,30,35,32,35,23,25,34,35,41,30,40,15,22,32,25,40,46,23,20,25,47,38,47,57,90,39,17,79,64,85,67,62,12,0,0,0
"27",2572287,"TABASCO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,1,0,1,0,0,1,2,0,2,0,1,2,1,1,9,6,7,11,18,6,17,35,27,21,8,44,46,36,25,35,19,20,30,30,26,9,8,7,8,17,32,21,31,47,22,52,35,46,66,76,82,39,24,65,34,76,57,32,30,55,75,80,72,91,93,72,45,95,83,78,121,129,68,57,104,28
"28",3650602,"TAMAULIPAS",0,1,1,0,0,0,0,1,0,1,0,0,0,0,2,2,1,0,1,1,1,1,1,1,4,2,0,1,2,0,0,1,0,0,0,0,0,2,0,0,0,3,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,1,0,0,0,2,0,1,2,0,2,0,3,0,2,2,0,2,0,5,3,6,3,5,10,11,13,12,21,14,5,11,19,23,32,24,24,10,14,23,34,47,15,41,11,23,66,64,72,65,70,72,38,108,49,89,90,100,47,47,147,129,129,147,87,61,48,91,109,86,115,84,51,28,116,103,140,204,250,108,16,154,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,2,1,1,0,1,0,3,8,6,3,4,8,6,5,14,19,7,7,19,13,21,15,13,4,8,17,17,16,27,19,8,6,49,47,18,10,30,15,2,21,22,17,23,24,24,9,40,46,17,38,10,31,11,25,30,41,26,35,32,18,27,38,59,61,61,27,13,45,15
"30",8539862,"VERACRUZ",0,0,0,0,0,1,2,2,1,1,2,0,1,2,1,1,3,3,0,0,3,1,1,3,6,2,5,3,3,2,5,0,0,0,0,1,1,4,3,1,1,6,3,1,3,4,2,2,0,3,4,3,2,1,0,4,3,1,2,6,3,4,1,6,2,4,5,0,2,3,2,2,3,9,5,2,6,28,18,15,19,6,2,17,40,47,61,40,19,15,57,62,48,59,43,15,9,51,50,51,23,23,25,13,58,60,52,36,52,23,27,78,72,60,71,61,36,19,60,48,58,42,34,23,36,47,41,54,43,60,29,21,64,47,62,41,39,14,5,3,1
"31",2259098,"YUCATAN",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,3,4,2,6,0,1,0,1,1,0,5,2,0,6,5,5,8,13,21,9,11,16,26,14,11,15,18,14,28,22,29,35,29,15,15,23,27,30,16,15,18,17,44,35,25,22,34,21,41,42,36,31,48,40,21,9,80,57,99,60,31,20,44,71,64,64,75,54,24,38,66,57,79,62,53,21,22,53,11
"32",1666426,"ZACATECAS",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,2,3,2,0,1,1,3,7,3,7,7,6,10,26,17,12,9,1,5,10,11,7,29,12,14,6,10,12,22,5,7,5,3,13,13,13,10,7,25,10,22,22,28,23,23,12,37,39,25,19,10,19,10,7,37,23,13,36,34,13,5,26,20,30,24,30,23,10,33,0
"000",127792286,"Nacional",0,5,16,18,6,14,28,27,15,45,39,5,20,36,51,59,43,42,16,21,65,52,56,46,46,15,33,43,50,30,39,31,8,12,13,51,45,44,29,8,16,71,49,40,35,32,9,17,28,30,30,23,26,12,9,32,32,38,40,63,24,27,81,74,67,64,53,24,31,77,97,108,177,222,114,135,197,364,403,485,473,331,266,701,968,1105,1046,1255,610,602,1366,1216,1258,1385,1394,844,587,1440,1528,1648,1226,1427,962,763,1948,2022,1889,1768,1962,869,797,2178,1959,1895,2105,2354,1179,933,2459,2572,2919,3291,1657,1431,1469,3244,2783,3138,3037,3041,1657,1095,3062,3089,2769,2968,2947,1267,629,1492,176
