estado,casos_acumulados,negativos_acumulados,sospechosos,muertes_acumuladas
Aguascalientes,47,323,53,0
Baja California,40,284,213,3
Baja California Sur,19,137,62,2
Campeche,5,21,13,0
Coahuila,62,281,179,2
Colima,3,32,12,0
Chiapas,15,92,45,0
Chihuahua,11,56,24,0
Ciudad de México,327,863,757,13
Durango,8,72,28,1
Guanajuato,50,676,200,0
Guerrero,22,91,102,1
Hidalgo,26,183,65,3
Jalisco,104,725,638,4
México,171,554,406,1
Michoacán,24,155,71,1
Morelos,9,100,31,3
Nayarit,8,44,27,1
Nuevo León,84,747,80,0
Oaxaca,22,128,46,1
Puebla,100,319,122,1
Queretaro,32,199,67,1
Quintana Roo,56,172,97,1
San Luis Potosí,33,305,104,2
Sinaloa,42,187,181,4
Sonora,21,145,148,0
Tabasco,62,212,277,3
Tamaulipas,13,87,70,0
Tlaxcala,5,119,76,0
Veracruz,29,207,353,1
Yucatán,53,178,72,0
Zacatecas,7,128,34,1
