estado,casos_acumulados,muertes_acumuladas
Aguascalientes,6,0
Baja California,13,0
Baja California Sur,2,0
Campeche,2,0
Ciudad de México,60,2
Coahuila,12,0
Colima,2,0
Chiapas,2,0
Chihuahua,5,0
Durango,5,1
Guanajuato,7,0
Guerrero,5,0
Hidalgo,7,0
Jalisco,46,1
México,22,0
Michoacán,7,0
Morelos,2,0
Nayarit,1,0
Nuevo León,40,0
Oaxaca,4,0
Puebla,16,0
Querétaro,16,0
Quintana Roo,21,0
San Luis Potosí,16,0
Sinaloa,4,0
Sonora,4,0
Tabasco,6,0
Tamaulipas,5,0
Tlaxcala,0,0
Veracruz,7,0
Yucatán,19,0
Zacatecas,3,0
