cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,2,1,0,3,0,0,0,2,3,3,1,3,2,0,0,2,3,3,2,3,3,2,3,4,6,4,1,3,1,4,2,5,3,1,6,3,2,4,5,5,4,6,3,5,6,2,7,6,2,5,5,8,9,15,13,13,11,19,15,14,16,14,18,17,12,24,21,26,15,23,21,19,21,17,24,21,35,27,25,36,31,30,29,31,33,36,32,27,31,35,22,27,27,23,22,38,24,30,38,33,22,47,34,35,38,31,28,32,27,27,25,24,29,31,30,27,35,32,23,21,15,14,23,18,16,25,22,21,23,15,30,18,16,20,18,16,15,11,14,20,15,12,8,2,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,1,1,3,0,1,3,4,3,7,3,3,1,4,1,8,5,4,2,2,8,4,4,5,10,6,4,11,6,8,7,8,8,13,14,16,16,12,23,17,18,18,19,27,21,24,17,22,17,23,20,28,17,17,23,19,23,22,19,22,18,18,27,22,15,19,24,19,29,14,16,29,15,15,16,21,24,20,19,20,10,11,14,20,12,13,22,10,12,15,13,7,15,24,12,9,11,13,11,14,14,11,15,10,15,14,9,7,6,12,9,10,10,10,13,7,7,14,7,9,7,7,4,12,4,13,13,7,11,16,7,6,8,2,6,10,7,6,4,12,3,2,3,1,3,0,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2,1,1,2,2,2,1,7,8,1,5,2,5,9,2,7,10,10,7,8,9,6,10,8,12,9,14,15,9,12,14,7,16,17,12,11,11,12,11,12,12,11,11,13,9,6,16,5,3,3,12,15,8,12,10,5,8,16,10,11,12,12,11,8,10,8,12,13,8,18,6,12,11,6,18,13,10,5,9,6,10,10,8,15,11,18,14,14,14,15,17,13,8,14,17,12,9,16,20,13,17,16,16,18,17,12,19,18,23,18,22,15,14,15,26,22,18,14,18,11,13,21,16,16,12,19,20,19,11,29,17,11,15,18,13,12,13,11,5,4,1
"14",8409693,"JALISCO",0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,1,3,1,3,2,0,1,3,2,3,0,4,3,3,3,5,3,0,3,3,2,3,3,4,7,9,5,3,1,6,9,2,4,3,8,5,4,3,5,14,10,20,11,18,23,17,17,21,14,23,14,23,28,14,27,18,24,30,17,24,26,26,21,27,27,29,19,23,26,34,20,32,21,33,38,32,27,26,28,27,23,35,30,33,24,38,29,17,22,29,31,33,22,32,23,28,22,32,36,17,36,20,29,23,26,30,31,34,30,35,26,18,36,29,23,26,24,30,27,19,34,28,25,27,36,20,26,28,21,22,20,19,20,25,21,17,6,0
"15",17427790,"MEXICO",0,1,0,0,0,0,0,0,0,0,0,4,1,1,2,1,5,3,5,5,4,10,6,5,7,13,17,19,16,18,18,23,28,27,36,38,41,37,53,48,68,51,59,72,65,75,64,65,93,65,55,66,61,62,65,71,58,85,75,93,87,102,93,99,82,101,100,84,108,101,115,97,97,103,110,111,108,99,122,106,103,108,115,112,128,114,122,109,106,106,122,125,112,96,109,80,83,95,89,83,69,83,90,91,123,86,83,95,61,70,85,110,78,85,80,73,86,71,66,72,74,86,69,76,83,64,68,55,64,67,69,65,69,56,59,55,55,65,52,60,57,57,64,43,48,62,71,47,48,50,48,41,54,44,47,57,35,46,37,52,34,32,30,46,50,40,36,33,26,32,19,4,0
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,0,4,2,1,2,0,1,2,4,0,1,3,2,4,3,1,3,5,5,2,1,1,4,5,0,2,4,4,3,3,2,6,10,4,6,7,4,8,9,10,7,4,9,11,6,12,8,3,4,8,8,6,7,14,7,9,7,12,8,11,12,9,14,18,20,16,24,12,14,14,10,8,10,10,6,8,17,11,6,7,12,9,5,8,10,10,7,10,5,8,15,10,12,8,14,6,12,4,4,5,3,5,8,11,15,17,13,11,14,8,8,17,8,18,7,10,12,15,15,18,16,14,16,9,11,14,14,20,13,17,6,16,16,18,9,12,14,8,17,16,16,12,14,8,13,2,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,3,1,2,1,3,0,4,6,6,8,6,4,7,8,7,9,11,8,15,16,12,20,16,14,12,13,13,16,16,12,22,10,10,9,10,15,18,22,15,9,15,7,9,10,6,7,5,7,12,13,13,6,7,8,11,8,9,9,12,8,8,9,8,7,11,7,5,9,3,9,7,9,4,1,7,3,4,9,6,8,4,6,5,4,3,3,4,4,7,4,2,7,4,3,5,4,3,8,3,5,1,4,12,4,3,2,3,2,2,3,3,3,10,7,5,9,6,4,4,5,9,2,6,3,2,7,3,5,2,2,3,3,5,3,6,6,2,4,2,2,2,1,1,1,0,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,2,3,2,0,1,1,0,2,1,0,0,4,2,2,3,2,3,0,2,1,0,2,0,3,5,6,2,6,5,1,6,3,3,0,8,4,7,5,3,4,1,1,8,4,5,7,5,9,9,9,3,6,5,8,1,6,8,7,4,1,1,4,3,7,7,6,5,8,4,5,6,8,6,4,5,6,3,13,5,9,7,10,1,9,8,7,9,10,6,3,7,11,6,6,7,7,3,7,7,6,3,2,6,9,11,3,9,7,6,15,4,6,3,5,8,7,8,3,6,12,4,4,4,6,4,0
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,1,1,2,2,2,1,2,3,2,2,3,2,2,0,3,3,3,4,4,3,4,3,3,4,5,6,3,3,2,1,9,5,4,4,6,3,2,4,2,8,10,3,7,3,5,6,7,5,10,10,6,13,11,11,11,10,7,14,12,11,11,10,21,13,14,16,23,20,28,21,19,27,27,19,24,26,16,22,26,32,30,39,30,29,37,33,29,36,42,37,39,28,36,46,48,29,31,31,33,36,31,37,40,43,45,27,45,33,32,33,41,27,31,38,35,23,31,38,32,34,24,28,21,27,21,23,26,30,31,23,25,23,9,0
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,4,1,0,1,3,0,1,4,1,1,2,4,3,4,4,5,4,2,4,5,6,7,8,3,7,7,12,5,3,8,9,14,11,8,11,9,13,16,16,14,12,6,14,5,14,17,17,24,22,12,17,26,12,17,21,21,12,10,6,16,19,21,15,12,16,12,9,5,10,18,7,11,17,16,14,16,9,14,14,10,13,17,17,15,10,13,7,18,10,10,18,12,13,6,4,10,16,7,9,11,8,12,15,9,11,14,13,10,9,7,8,10,10,11,9,11,5,8,6,10,4,3,6,6,5,7,3,2,4,8,5,6,2,5,0,1
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,3,3,4,8,1,2,5,5,2,3,4,4,5,5,7,7,8,3,7,5,6,6,9,5,12,9,8,12,5,13,13,13,8,11,8,8,5,15,17,14,14,17,15,13,10,21,23,18,28,23,18,28,21,19,24,19,23,24,35,32,25,33,20,35,29,24,31,32,19,36,36,35,36,40,38,40,25,34,46,49,28,23,23,28,22,27,33,37,33,29,48,37,41,41,36,40,32,30,28,38,54,23,29,43,40,40,36,37,45,40,42,41,43,42,35,33,44,44,36,33,32,30,30,32,30,31,21,23,35,39,27,31,28,37,34,25,17,30,25,17,19,14,25,21,16,18,16,18,19,23,8,17,11,4,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,2,1,2,0,0,0,4,2,3,1,2,4,8,8,1,3,5,9,2,5,3,5,5,6,2,6,2,7,5,6,5,9,3,7,7,3,7,2,8,7,9,4,7,7,5,6,6,5,3,5,5,3,3,5,9,5,6,5,6,10,5,8,6,5,7,10,4,3,1,7,8,3,4,7,8,5,8,8,3,8,6,4,6,8,2,6,5,7,9,8,11,3,4,10,8,4,9,7,10,6,3,5,10,10,7,3,8,11,8,7,13,6,5,12,9,7,6,13,15,11,5,7,7,0,0
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,2,2,1,1,2,2,3,3,2,2,5,5,3,0,1,4,6,7,10,8,6,7,16,10,10,14,9,12,11,14,5,8,6,7,9,8,5,9,8,6,12,7,11,10,6,5,10,8,4,6,5,3,10,6,6,7,7,8,8,6,12,7,4,5,8,9,12,5,7,8,4,6,7,6,4,4,6,6,5,5,8,8,5,7,10,10,6,10,13,9,10,7,9,6,16,10,13,11,22,19,14,11,12,18,11,9,21,11,15,27,24,14,16,16,14,14,13,16,10,16,18,9,18,21,18,10,12,13,19,12,17,21,10,7,8,13,8,11,13,14,13,9,11,14,15,10,11,7,3,6,10,6,3,6,11,0,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,0,1,2,4,5,2,0,3,1,2,3,2,3,3,1,1,2,2,4,6,1,5,5,2,8,6,6,3,4,8,4,2,2,0,7,2,2,3,5,7,7,6,12,10,7,4,8,4,11,8,3,5,3,7,12,10,7,10,12,6,13,15,16,17,23,16,10,18,18,23,25,31,21,23,16,22,33,17,21,26,13,23,27,23,24,20,18,18,22,21,25,22,21,29,14,10,21,13,10,18,12,18,11,26,16,14,18,15,9,14,13,8,10,4,2,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,3,2,5,0,1,3,6,7,10,8,7,8,5,6,4,5,5,4,10,6,8,7,6,11,10,10,8,11,12,16,6,9,12,21,6,13,11,4,6,13,15,4,17,17,14,18,18,15,15,24,16,19,15,18,17,28,23,22,23,28,30,27,40,27,34,25,31,37,20,22,21,48,26,26,31,30,31,28,22,24,34,32,31,29,30,27,35,30,29,22,20,25,36,27,41,30,30,29,34,15,22,29,37,29,33,24,33,22,38,30,18,23,23,22,25,28,31,18,20,15,26,20,9,19,28,13,20,22,14,22,11,13,17,20,14,6,10,17,11,20,18,13,18,11,14,13,6,8,10,11,14,12,6,7,12,0,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,1,3,0,1,2,0,1,0,2,3,3,3,1,1,1,0,3,1,3,1,1,3,1,2,0,0,4,2,2,4,4,1,4,7,5,7,9,7,10,10,4,9,14,11,14,17,12,14,23,18,13,20,13,16,24,34,25,22,29,24,33,33,36,25,31,40,40,33,41,31,37,25,38,53,48,46,38,34,44,43,37,42,40,38,42,40,42,41,39,49,50,45,40,44,49,38,41,29,32,31,30,45,22,37,22,16,32,33,22,17,26,16,14,11,16,25,12,14,18,12,5,6,17,10,11,10,6,13,14,7,10,9,7,2,3,7,5,8,5,8,5,2,7,2,4,4,1,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,3,0,1,1,0,1,2,4,5,3,3,10,9,8,8,3,10,11,7,10,10,6,9,9,10,17,13,13,14,7,15,11,23,13,13,15,11,13,15,24,17,17,14,16,21,19,22,21,17,12,22,18,19,18,28,11,24,20,17,17,17,10,18,15,16,17,12,18,17,17,21,25,15,22,18,10,23,16,14,14,22,22,26,25,25,29,18,27,24,17,31,41,35,24,33,35,35,31,39,29,27,34,39,25,28,34,37,32,29,20,32,24,26,27,21,32,24,24,18,21,16,20,15,12,18,19,23,18,22,19,14,11,17,8,10,13,10,10,9,8,12,6,17,16,4,13,8,6,9,3,9,3,0
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,3,1,3,1,2,1,0,3,2,3,1,1,1,3,4,6,3,4,4,3,3,6,2,3,0,4,5,2,5,4,3,5,4,3,4,10,2,7,9,6,6,7,5,2,2,5,7,7,9,4,11,6,20,15,12,19,22,19,9,16,28,20,12,23,27,29,27,29,31,19,26,17,35,37,38,34,31,20,19,13,15,37,15,22,33,25,26,29,27,29,19,31,25,21,29,30,20,23,24,19,24,25,19,28,20,22,16,20,23,17,17,20,14,11,14,17,15,17,11,10,16,13,10,13,7,12,10,11,11,8,7,11,4,5,0,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,1,0,2,0,2,2,1,1,2,2,4,4,5,3,2,3,2,6,4,3,2,7,1,1,10,9,4,2,8,9,7,3,6,5,5,2,5,13,3,6,5,9,5,0,10,9,9,6,14,5,7,7,13,10,16,11,7,7,6,6,9,5,9,7,13,11,4,5,8,5,13,10,5,8,9,10,10,6,7,9,9,14,12,8,11,12,11,6,19,18,9,12,16,11,13,12,18,14,11,10,17,12,10,10,7,8,14,7,8,16,7,5,4,12,5,13,10,3,4,4,4,6,3,7,3,10,4,6,2,4,3,5,4,8,6,1,2,5,1,2,1,0
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,1,0,1,1,2,6,4,3,6,2,4,9,10,6,3,12,3,7,15,13,12,15,18,13,19,28,22,25,24,20,36,25,19,22,32,37,37,27,33,28,30,30,34,24,31,25,38,27,35,33,35,26,40,29,32,43,39,40,33,32,30,34,40,42,31,30,35,42,40,26,30,34,44,36,41,37,42,31,24,28,33,37,40,45,39,50,44,44,28,28,39,36,37,50,42,43,47,43,39,36,34,39,42,46,42,41,46,35,34,29,47,38,32,27,25,27,29,25,30,24,27,26,21,18,24,21,12,27,27,19,19,18,12,15,12,12,14,13,17,16,15,12,8,3,0
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,3,0,0,1,0,3,1,1,0,1,2,3,1,4,2,2,1,1,3,3,1,2,5,2,2,7,4,3,2,1,7,6,7,5,7,1,3,8,5,3,11,5,6,8,2,7,10,9,8,7,9,5,10,8,2,5,4,6,4,5,9,10,6,5,8,12,13,6,7,10,3,9,7,6,9,19,16,8,6,6,15,23,15,10,15,16,8,19,19,9,13,21,10,9,16,13,23,13,7,15,11,13,21,22,22,16,13,12,20,21,14,8,17,20,14,18,18,16,19,11,14,14,20,16,14,19,10,14,9,12,15,10,9,20,13,7,5,13,8,11,6,4,9,8,10,15,11,5,0
