"cve_ent","poblacion","nombre","31-12-2019","01-01-2020","02-01-2020","03-01-2020","04-01-2020","05-01-2020","06-01-2020","07-01-2020","08-01-2020","09-01-2020","10-01-2020","11-01-2020","12-01-2020","13-01-2020","14-01-2020","15-01-2020","16-01-2020","17-01-2020","18-01-2020","19-01-2020","20-01-2020","21-01-2020","22-01-2020","23-01-2020","24-01-2020","25-01-2020","26-01-2020","27-01-2020","28-01-2020","29-01-2020","30-01-2020","31-01-2020","01-02-2020","02-02-2020","03-02-2020","04-02-2020","05-02-2020","06-02-2020","07-02-2020","08-02-2020","09-02-2020","10-02-2020","11-02-2020","12-02-2020","13-02-2020","14-02-2020","15-02-2020","16-02-2020","17-02-2020","18-02-2020","19-02-2020","20-02-2020","21-02-2020","22-02-2020","23-02-2020","24-02-2020","25-02-2020","26-02-2020","27-02-2020","28-02-2020","29-02-2020","01-03-2020","02-03-2020","03-03-2020","04-03-2020","05-03-2020","06-03-2020","07-03-2020","08-03-2020","09-03-2020","10-03-2020","11-03-2020","12-03-2020","13-03-2020","14-03-2020","15-03-2020","16-03-2020","17-03-2020","18-03-2020","19-03-2020","20-03-2020","21-03-2020","22-03-2020","23-03-2020","24-03-2020","25-03-2020","26-03-2020","27-03-2020","28-03-2020","29-03-2020","30-03-2020","31-03-2020","01-04-2020","02-04-2020","03-04-2020","04-04-2020","05-04-2020","06-04-2020","07-04-2020","08-04-2020","09-04-2020","10-04-2020","11-04-2020","12-04-2020","13-04-2020","14-04-2020","15-04-2020","16-04-2020","17-04-2020","18-04-2020","19-04-2020","20-04-2020","21-04-2020","22-04-2020","23-04-2020","24-04-2020","25-04-2020","26-04-2020","27-04-2020","28-04-2020","29-04-2020","30-04-2020","01-05-2020","02-05-2020","03-05-2020","04-05-2020","05-05-2020","06-05-2020","07-05-2020","08-05-2020","09-05-2020"
"10","1868996","DURANGO","0","0","0","0","2","1","1","1","2","1","1","0","3","0","1","2","0","0","0","4","1","1","1","0","0","1","1","2","3","0","1","0","0","1","2","0","1","0","1","3","0","4","0","1","0","0","0","2","1","1","0","1","0","0","0","1","1","0","1","0","1","0","2","2","1","2","1","0","1","6","0","1","3","1","1","1","0","4","2","6","0","1","0","7","13","9","17","19","3","3","6","11","15","29","12","27","11","23","21","15","5","7","2","3","13","17","18","18","15","4","6","20","34","10","46","26","10","8","13","25","32","44","11","76","18","28","31","22","20","23","0"
"11","6228175","GUANAJUATO","0","0","0","1","0","0","0","0","0","0","1","0","0","2","0","0","0","1","1","1","1","1","2","0","0","1","1","0","2","0","0","2","1","0","1","3","1","2","2","0","2","5","2","2","1","0","0","3","1","2","1","0","0","1","0","2","1","1","1","4","3","5","3","1","2","3","0","1","0","3","3","1","8","9","2","3","8","10","13","27","25","40","14","47","55","84","88","72","64","19","85","91","78","98","84","31","17","70","72","83","62","56","54","16","60","77","117","102","156","62","35","172","201","222","230","200","104","38","194","309","333","361","155","75","49","233","223","248","237","5","0"
"12","3657048","GUERRERO","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","3","0","0","0","5","0","1","2","3","2","2","2","0","1","12","6","12","14","17","10","11","26","20","17","18","10","7","4","12","14","14","12","14","8","10","22","14","23","22","20","9","15","29","32","18","16","16","8","16","25","37","28","33","20","42","30","29","25","30","5","0","0"
"13","3086414","HIDALGO","0","0","0","1","0","0","0","1","0","2","0","0","0","0","0","1","0","1","0","1","0","0","1","1","0","1","0","0","2","0","2","0","0","0","0","1","1","0","1","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","0","2","0","2","1","1","2","0","2","3","3","4","0","0","0","1","11","2","4","23","1","0","11","16","16","37","35","15","12","22","16","20","15","23","9","6","16","19","16","11","4","2","3","10","15","9","5","15","20","8","15","15","15","28","13","8","4","17","20","10","27","14","9","11","23","33","23","28","31","4"
"14","8409693","JALISCO","0","1","0","3","0","2","3","4","3","14","9","3","7","11","10","17","12","15","7","2","12","18","18","8","7","4","4","11","10","9","10","11","3","6","4","7","8","6","3","2","3","9","6","13","10","8","0","6","7","4","7","6","6","2","2","5","2","10","4","5","3","3","12","8","10","3","8","2","2","3","11","9","14","18","5","14","13","37","45","53","40","31","33","93","98","119","77","124","55","67","109","102","90","93","120","113","83","145","118","103","79","76","78","52","112","91","107","106","133","64","35","185","147","201","277","292","125","91","175","126","186","155","94","63","42","171","96","114","115","22","8"
"15","17427790","MEXICO","0","0","1","1","1","3","1","5","1","6","7","0","1","2","5","2","5","1","1","1","7","4","8","1","3","0","3","2","2","3","1","0","0","1","0","6","3","5","2","0","0","2","4","3","3","2","0","0","2","0","0","1","3","0","1","2","6","4","2","4","2","2","9","12","9","4","7","1","5","7","9","13","11","24","15","9","18","42","22","42","30","24","14","64","73","77","78","141","63","64","178","122","132","130","152","102","49","128","163","168","89","124","65","62","231","211","177","159","174","80","88","219","180","190","180","254","118","92","217","259","317","420","141","48","60","218","179","172","57","30","0"
"16","4825401","MICHOACAN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","8","1","0","3","4","8","8","7","8","6","12","14","33","19","22","15","10","34","20","30","25","36","22","13","30","26","34","33","24","11","17","45","38","47","82","109","27","21","64","55","43","61","57","52","18","58","71","76","92","39","32","29","72","58","79","45","0","0"
"17","2044058","MORELOS","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","2","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","1","1","0","1","2","0","1","2","6","8","1","2","11","11","13","11","8","7","14","12","14","18","17","13","13","5","21","15","21","12","9","13","8","21","27","22","16","15","6","10","25","24","13","16","16","10","8","17","12","22","25","6","2","14","29","16","46","19","14","0"
"18","1288571","NAYARIT","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","3","1","2","0","1","2","1","5","3","5","10","11","11","8","15","9","13","9","6","9","3","14","9","12","9","4","2","4","12","12","12","9","7","10","3","16","12","14","8","17","18","22","30","17","16","16","12","19","14","20","17","21","20","16","5"
"19","5610153","NUEVO LEON","0","0","0","1","0","0","0","0","0","0","0","0","0","3","1","3","4","0","2","2","10","6","3","6","3","2","3","3","3","2","2","0","0","0","1","1","1","4","3","0","2","6","3","3","5","1","2","1","3","1","1","0","2","3","0","2","4","0","3","8","3","2","9","12","6","7","4","3","3","9","7","9","25","40","14","6","26","43","35","47","42","30","33","62","96","99","54","72","41","38","74","71","93","76","86","47","30","97","110","98","235","344","277","220","185","301","269","222","156","59","59","125","66","49","65","74","107","86","174","182","207","142","127","95","100","217","220","89","52","24","19"
"20","4143593","OAXACA","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","2","2","0","3","1","3","5","5","7","1","2","4","8","11","23","14","35","6","14","10","19","24","45","25","12","7","15","12","17","7","8","15","6","19","11","10","7","15","6","8","14","7","9","12","22","17","4","16","17","20","17","10","18","12","6","12","9","14","1","1"
"21","6604451","PUEBLA","0","0","1","0","0","0","0","3","0","0","0","0","0","2","0","0","1","1","0","0","0","1","0","0","2","0","0","0","2","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","1","4","0","2","1","0","1","0","0","1","0","0","2","12","5","10","5","4","4","17","25","26","34","16","7","26","35","40","39","24","10","21","62","32","28","34","41","18","25","52","46","58","29","17","10","24","74","53","41","34","41","18","18","54","27","29","41","45","33","21","59","48","46","57","26","21","25","61","34","29","49","27","1"
"22","2279637","QUERETARO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","1","0","0","0","0","0","0","2","1","7","4","3","4","2","9","14","6","16","4","17","20","16","29","22","15","9","22","37","27","21","20","3","6","22","20","14","5","21","14","12","25","18","18","11","10","9","11","19","17","9","10","16","9","7","23","18","13","15","12","11","7","15","13","9","12","9","2"
"23","1723259","QUINTANA ROO","0","0","0","1","0","1","0","2","1","0","1","0","0","0","1","1","1","1","0","0","1","0","1","2","0","0","2","0","2","2","2","0","0","0","0","2","4","3","2","0","1","3","0","2","0","0","0","0","0","1","1","4","0","0","0","0","1","0","1","3","0","0","6","1","0","2","3","0","1","2","1","2","3","4","3","6","11","11","12","13","6","6","6","13","20","24","27","22","7","6","36","27","17","21","17","8","14","16","23","16","15","13","11","7","23","13","16","16","9","16","9","15","16","10","8","17","15","5","17","12","19","19","7","5","8","13","24","19","17","1","0"
"24","2866142","SAN LUIS POTOSI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0","0","2","2","0","2","0","2","1","1","2","0","0","1","4","0","0","0","0","1","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","5","1","0","0","0","0","2","1","4","3","2","13","5","9","2","8","11","14","13","25","39","39","39","53","28","28","39","45","58","48","32","25","18","31","41","51","32","25","22","23","51","51","28","30","32","27","26","34","36","26","53","63","20","27","48","50","51","57","37","26","29","54","35","68","46","30","1"
"25","3156674","SINALOA","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","7","4","4","0","0","0","2","3","4","3","4","0","0","2","2","4","1","1","0","1","0","2","1","0","2","1","0","2","0","1","2","1","0","1","2","3","0","3","2","3","4","3","6","13","10","12","5","6","24","38","34","30","38","12","18","40","25","45","36","39","52","16","41","27","43","20","31","24","8","61","39","44","31","35","15","21","31","20","21","26","47","19","20","43","56","29","95","62","45","18","83","59","6","9","3","0"
"26","3074745","SONORA","0","0","0","1","0","1","2","0","1","0","0","1","0","0","4","3","0","1","0","0","0","1","0","3","0","0","0","1","2","3","4","0","1","0","0","2","1","2","1","0","0","0","3","0","1","0","1","0","1","1","1","1","0","1","1","1","0","1","1","0","0","0","2","1","1","1","1","0","1","2","1","0","2","2","0","1","2","9","13","8","7","6","3","10","22","28","21","23","17","13","40","32","34","28","22","15","13","29","28","35","16","24","12","7","38","30","34","33","34","23","25","35","35","41","30","40","15","22","30","25","39","44","23","19","24","42","35","35","34","10","0"
"27","2572287","TABASCO","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","2","2","1","1","0","1","0","0","1","2","0","2","0","1","2","1","1","9","6","7","11","18","6","17","35","27","21","8","44","46","36","25","35","19","20","30","30","26","9","8","7","8","17","32","21","31","47","23","52","35","46","66","74","82","38","24","62","34","73","55","27","27","43","72","70","57","48","58","1"
"28","3650602","TAMAULIPAS","0","1","1","0","0","0","0","1","0","1","0","0","0","0","2","2","1","0","1","1","1","1","1","1","4","2","0","1","2","0","0","1","0","0","0","0","0","2","0","0","0","3","1","2","0","1","0","0","1","0","1","0","0","0","0","0","0","1","2","1","0","0","0","2","0","1","2","0","2","0","3","0","2","2","0","2","0","5","3","6","3","5","10","11","13","12","21","14","5","11","19","23","32","24","24","10","14","23","34","47","15","41","11","23","66","64","72","66","70","75","38","106","48","89","90","99","47","47","145","127","123","141","70","62","37","90","108","82","92","68","33"
"29","1380011","TLAXCALA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","2","0","2","1","1","0","1","0","3","8","6","3","4","8","5","5","14","19","7","7","19","13","21","15","13","4","8","17","17","16","27","19","8","6","49","47","18","10","30","15","2","21","22","17","22","24","23","9","40","46","17","37","10","31","11","23","29","38","19","28","0"
"30","8539862","VERACRUZ","0","0","0","0","0","1","2","2","1","1","2","0","1","2","1","1","3","3","0","0","3","1","1","3","6","2","5","3","3","2","5","0","0","0","0","1","1","4","3","1","1","6","3","1","3","4","2","2","0","3","4","3","2","1","0","4","3","1","2","6","3","4","1","6","2","4","5","0","2","3","2","2","3","9","5","2","6","28","18","15","19","6","2","17","40","47","62","40","19","15","57","62","48","60","43","15","9","51","50","52","23","23","25","13","58","60","51","36","52","23","27","78","72","60","71","61","35","19","59","46","53","41","33","24","35","42","25","23","9","2","0"
"31","2259098","YUCATAN","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","1","0","2","0","0","0","0","1","0","0","0","0","0","0","1","0","2","0","0","0","0","2","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","1","3","4","2","6","0","1","0","1","1","0","5","2","0","6","5","5","8","13","21","9","11","16","26","14","11","15","18","14","28","22","29","35","30","15","14","23","28","30","16","14","18","17","44","35","25","22","34","21","41","42","36","31","48","40","21","9","81","57","98","61","30","19","42","73","57","63","68","30","0"
"32","1666426","ZACATECAS","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","2","0","0","0","0","0","2","2","3","2","0","1","1","3","7","3","7","7","6","10","26","17","12","9","1","5","10","11","7","29","12","14","6","10","12","22","5","7","5","3","13","13","13","10","7","24","10","22","22","28","23","23","12","37","40","25","19","10","17","10","7","36","23","13","35","8","0"
