cve_ent,poblacion,nombre,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0,10,4,2,2,12,1,1,16,12,14,6,26,9,4,2,7,1,11,0,8,0,5,2,2,4,3,3,3,2,3,2,3,4,3,3,19,3,6,7,15,9,5,7,12,14,17,14,13,5,22,24,20,18,39,6,11,33,34,10,25,47,25,23,319,716,877,53
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,33,7,9,1,0,0,3,11,15,6,7,2,1,5,4,4,13,10,1,2,8,9,20,13,10,1,4,2,18,14,9,9,7,1,6,9,7,7,10,7,5,14,4,8,5,7,0,4,3,18,10,3,7,10,8,73,26,72,53,31,9,10,24,18,33,35,29,30,46,81,217,213,1
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,3,2,0,1,2,4,2,1,1,0,0,0,4,2,6,2,0,1,6,2,4,3,7,1,2,7,2,3,8,6,1,0,2,4,3,1,5,3,0,11,5,6,3,2,2,0,2,6,8,4,13,5,10,30,63,105,10
"14",8409693,"JALISCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,2,1,0,2,9,5,5,1,2,2,4,9,6,4,6,4,2,8,21,9,4,7,7,1,10,7,19,16,21,13,10,9,16,13,19,15,10,5,25,22,28,23,22,25,3,33,38,48,62,45,18,30,44,51,48,51,45,11,11,68,58,50,36,53,33,24,73,69,38,55,189,96,30,246,398,495,53
"15",17427790,"MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,2,1,4,4,1,4,1,3,2,4,1,2,5,3,4,9,11,14,25,31,7,11,26,27,10,17,7,13,8,29,41,58,41,52,43,27,57,55,51,69,84,43,44,96,74,99,92,121,57,58,91,134,87,77,97,47,46,138,132,149,117,176,79,61,153,187,183,205,192,71,66,157,228,139,209,205,100,55,176,139,305,252,251,86,54,342,289,363,421,498,111,118,480,506,558,690,938,236,221,1031,1395,1474,131
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,2,2,1,1,2,2,4,0,2,1,2,0,1,3,2,2,0,1,3,0,3,5,5,3,4,5,9,8,17,7,11,14,3,6,8,9,9,13,18,8,1,8,21,18,9,9,2,11,13,22,24,9,35,8,8,40,44,74,80,139,88,47,383,420,331,19
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,2,2,0,2,1,1,1,2,2,1,3,4,0,1,2,1,4,9,13,7,4,8,5,2,4,2,2,1,3,1,3,3,2,0,0,2,1,0,3,2,2,4,3,17,7,4,3,3,1,9,7,4,9,4,1,3,6,5,7,4,1,1,1,6,12,8,10,12,12,19,37,56,64,3
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,2,1,0,0,0,1,0,1,0,0,0,1,1,2,2,0,0,1,2,1,2,1,0,0,2,0,1,0,1,0,2,1,2,2,3,2,0,0,0,2,0,3,4,3,2,13,16,91,5
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,2,5,7,6,4,1,2,5,2,6,6,7,3,1,11,5,3,3,1,2,3,8,3,7,2,9,3,2,8,6,9,3,4,4,3,13,8,9,9,13,7,4,12,29,18,14,30,7,7,29,41,43,20,66,24,36,64,66,84,124,73,23,19,112,154,165,368,423,287,194,606,603,621,37
"20",4143593,"OAXACA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,1,0,0,1,0,0,2,2,2,0,2,3,1,0,4,8,8,7,4,2,2,7,3,13,3,4,1,5,4,10,9,24,27,12,2,18,2,9,8,12,6,6,8,9,9,5,11,6,11,15,9,6,5,4,5,2,9,13,6,6,6,5,3,14,17,22,26,86,44,64,177,131,140,10
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,5,6,8,7,10,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,1,1,4,1,9,15,9,24,14,5,11,10,5,3,9,3,3,9,10,10,43,22,10,5,21,10,17,19,10,33,6,28,20,18,17,22,25,4,55,37,32,25,25,33,22,45,41,26,64,50,13,26,55,59,55,42,40,19,13,28,37,40,38,23,28,29,35,53,97,152,400,248,244,707,676,544,33
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,3,2,1,1,1,1,0,0,1,2,0,0,0,1,2,1,1,0,0,1,1,1,0,1,2,0,0,0,1,2,2,3,0,1,1,0,4,3,3,0,0,1,0,0,3,1,2,1,1,0,2,0,1,2,0,10,20,59,6
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,1,3,3,2,1,1,1,1,1,2,0,0,4,1,3,0,2,2,0,1,3,1,2,0,1,1,1,2,1,1,0,3,0,3,3,4,1,5,6,0,8,5,6,2,2,3,4,2,4,11,10,11,7,3,17,13,11,14,12,2,0,15,11,11,7,12,15,22,119,257,219,17
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,1,0,1,2,0,0,0,0,1,3,3,2,2,1,2,4,3,2,4,1,3,4,4,4,6,5,2,2,2,3,2,2,2,9,8,4,120,23,23,34,37,49,16,55,53,17,40,44,9,13,17,17,46,95,79,12,15,108,132,32,66,101,110,110,547,461,332,6
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,5,1,3,1,2,0,0,3,7,3,5,8,1,4,7,6,7,0,4,5,4,7,12,12,10,6,12,7,12,12,8,14,8,7,5,31,9,11,12,14,15,6,10,15,21,5,15,7,6,41,15,9,9,9,7,2,33,16,17,13,14,14,8,14,11,18,16,17,12,7,20,19,20,36,57,68,77,245,240,181,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,1,3,3,3,4,2,3,1,4,10,5,2,4,3,3,4,11,30,21,25,7,1,32,32,22,21,20,3,5,26,19,48,38,35,7,37,36,75,37,38,38,32,27,29,51,30,50,8,4,10,24,22,29,27,38,91,65,94,179,179,156,220,121,148,238,228,218,209,144,100,101,363,265,159,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,4,1,3,4,0,1,0,1,3,7,3,1,1,4,9,10,37,22,6,10,26,29,46,71,37,29,56,125,316,603,43
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,9,6,8,2,0,3,7,2,2,4,1,1,13,5,4,5,1,2,3,6,3,7,2,5,2,2,8,16,23,14,17,5,9,23,25,40,10,29,16,15,72,26,33,45,45,41,27,53,31,27,50,80,47,43,173,163,176,249,177,128,115,509,486,210,174,241,158,165,595,690,465,45
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,8,3,0,1,0,0,2,1,1,5,5,1,3,3,5,3,0,3,5,3,1,2,3,1,1,7,5,6,6,4,1,5,13,11,22,36,17,14,58,101,83,60,57,35,24,82,152,114,22
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,6,7,12,6,7,2,16,18,23,19,16,16,6,26,12,15,12,21,9,4,20,11,7,10,10,12,0,8,9,9,10,13,8,2,11,10,10,14,12,3,8,20,13,6,19,10,12,8,14,12,19,21,24,13,10,27,25,17,26,37,13,15,76,63,82,96,123,81,163,496,495,491,22
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,4,2,0,0,4,2,1,4,4,3,3,2,1,2,4,6,7,2,1,13,4,8,5,8,2,4,8,22,32,8,12,17,33,7,31,172,6
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,3,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,3,3,4,3,13,18,59,85,14
